005,3,0,56,0.2273726463317871,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,0.28324151039123535,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,56,0.5352499485015869,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,57,1.4760041236877441,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,69,3.222776412963867,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,67,3.6404244899749756,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,64,1.762446641921997,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,55,0.8039066791534424,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,47,0.5557360649108887,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,57,0.3470454216003418,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,59,0.44463229179382324,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,56,1.2456798553466797,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,55,4.918427467346191,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,59,2.07023286819458,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,68,0.6947929859161377,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,53,3.954899549484253,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,0,72,0.9436471462249756,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,62,3.2321083545684814,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,0,63,0.958554744720459,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,61,5.37029504776001,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,62,2.7275869846343994,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,57,7.867268800735474,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,1,0,68,5.401464223861694,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,62,5.738375663757324,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,67,3.3075149059295654,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,68,7.175543785095215,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,67,3.645676612854004,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,63,0.9953141212463379,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,58,4.607319355010986,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,67,3.9159834384918213,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,50,12.515599966049194,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,61,12.765830993652344,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,70,3.1685791015625,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,52,1.395029067993164,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,55,16.283742904663086,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,54,18.593956470489502,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,58,12.305550813674927,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,46,8.741307020187378,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,48,15.311394214630127,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,67,16.457876205444336,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,61,9.55841064453125,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,0,62,2.448608636856079,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,58,3.397844076156616,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,59,16.99598217010498,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,55,14.080399513244629,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,69,9.333097696304321,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,73,3.848778247833252,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,51,1.21500825881958,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,59,5.2298455238342285,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,4,0,58,2.131317138671875,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,0,68,14.953012943267822,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,59,13.762559413909912,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,69,7.040678024291992,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,68,21.74039125442505,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,68,6.851164817810059,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,63,16.022772550582886,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,61,6.6457602977752686,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,77,7.140244960784912,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,71,13.42024564743042,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,71,20.007556200027466,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,50,20.65997886657715,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,55,8.534672021865845,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,61,8.299591779708862,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,54,11.293073415756226,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,53,14.766864776611328,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,46,6.828424692153931,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,69,18.093748092651367,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,61,8.508208751678467,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,64,8.548015117645264,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,58,13.830818891525269,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,59,9.56838846206665,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,52,3.8079116344451904,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,1,0,68,2.4500699043273926,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,58,11.45180630683899,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,2,0,55,21.25148320198059,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,50,19.041804552078247,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,59,16.13639736175537,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,67,10.376048803329468,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,59,15.179210186004639,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,68,15.017446279525757,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,59,15.836055755615234,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,66,13.552674770355225,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,57,2.460761070251465,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,68,16.37937355041504,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,68,17.48525905609131,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,71,35.3197226524353,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,63,31.460781812667847,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,77,24.75262427330017,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,71,39.246968269348145,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,68,26.260279178619385,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,2,0,56,12.222939729690552,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,55,15.854750156402588,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,50,17.520328283309937,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,1,0,48,15.99110722541809,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,65,13.959728717803955,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,4,0,63,2.3955349922180176,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,58,19.131839752197266,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,48,18.049882888793945,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,50,5.877172946929932,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,48,18.103901624679565,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,67,6.620223045349121,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,74,22.03286075592041,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
