020,1,0,65,0.5075778961181641,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,64,0.6151926517486572,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,59,1.2555577754974365,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,57,1.6292619705200195,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,70,0.5249528884887695,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,0,47,2.783827543258667,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,39,2.1240787506103516,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,59,1.0025463104248047,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,61,3.7662346363067627,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,53,3.3290953636169434,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,57,2.375180721282959,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,54,4.065380334854126,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,70,0.8256008625030518,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
060,0,0,65,7.099533796310425,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,59,10.639323711395264,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,0,0,66,5.020599842071533,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,67,6.432538747787476,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,50,9.587371826171875,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
060,2,0,66,4.635519981384277,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,57,11.012521266937256,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,65,6.553597450256348,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
