010,1,0,56,5.606314182281494,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,66,4.098211765289307,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,56,0.4833338260650635,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,66,1.050694465637207,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,63,0.790520191192627,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,59,2.4205801486968994,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,70,0.3445761203765869,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,66,0.9773726463317871,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,64,1.1409647464752197,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,60,1.804957389831543,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,71,0.835968017578125,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,55,0.48256564140319824,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,64,2.88517427444458,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,68,0.7010509967803955,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,65,1.1264348030090332,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,52,4.251459836959839,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,67,4.25462007522583,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,62,1.1356000900268555,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,62,1.775024175643921,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,75,2.206209182739258,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,69,3.6454520225524902,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,67,0.7889881134033203,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,68,9.178231954574585,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,70,1.7703380584716797,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,65,10.261424541473389,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,70,12.55419373512268,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,64,12.099525690078735,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,70,5.671080589294434,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,72,9.160104274749756,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,75,15.171441078186035,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,69,5.391732931137085,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,0,68,6.586872339248657,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,70,12.219199657440186,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,73,2.2763166427612305,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,70,7.101689100265503,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,60,13.973276615142822,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,56,12.618997573852539,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,60,13.971181869506836,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,60,14.559350728988647,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,69,14.993599653244019,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,65,4.581218481063843,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,49,13.635528802871704,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,60,16.091052293777466,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,66,19.323468685150146,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
