010,2,0,66,46.07975101470947,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100}
015,0,0,65,45.1666464805603,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100}
020,4,0,66,44.616233587265015,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 25}
015,4,0,65,48.87921214103699,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50}
005,0,0,64,58.799978256225586,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 125}
005,1,0,57,66.04980993270874,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 150}
010,3,0,55,65.18975305557251,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 50}
005,4,0,57,68.97287917137146,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 25}
015,1,0,69,78.35875582695007,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 150}
020,0,0,58,79.77916264533997,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 25}
010,4,0,62,89.01416516304016,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 25}
030,2,0,68,79.77518224716187,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100}
030,4,0,72,57.41646385192871,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 100}
015,3,0,68,95.84299421310425,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 25}
020,1,0,69,102.78730392456055,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
010,1,0,58,106.61355876922607,{'criterion': 'entropy', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 75}
015,2,0,68,111.18861246109009,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50}
005,2,0,61,116.87206268310547,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 75}
030,0,0,62,112.03302788734436,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
020,2,0,58,115.88679885864258,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 25}
060,1,0,68,83.99565839767456,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}
100,0,0,69,79.5024299621582,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 125}
030,1,0,68,121.57398247718811,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}
060,4,0,69,86.71270060539246,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50}
005,3,0,57,144.71219515800476,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 75}
060,2,0,68,96.02912831306458,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100}
100,4,0,75,89.16082525253296,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100}
020,3,0,71,140.39291524887085,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
010,0,0,62,164.95489478111267,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 25}
060,0,0,68,136.8923361301422,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 50}
