010,3,0,47,0.2713625431060791,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,67,0.3475196361541748,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,47,0.29862332344055176,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,69,1.0442321300506592,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,0,55,0.33065342903137207,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,51,0.3427259922027588,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,60,3.844383478164673,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,54,2.9246814250946045,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,1.0572211742401123,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,55,3.8590586185455322,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,57,0.9230349063873291,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,52,3.7131400108337402,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,61,2.320289134979248,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,67,3.8834826946258545,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,4,0,53,3.898918867111206,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,53,2.5464284420013428,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,69,4.004690170288086,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,71,0.6212799549102783,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,71,2.1040430068969727,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,61,0.9840521812438965,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
