005,1,0,60,0.7063565254211426,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,53,0.39656543731689453,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,60,0.8587219715118408,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,4,0,49,0.39179182052612305,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,67,0.47243332862854004,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,70,0.45392584800720215,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,66,1.8828625679016113,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,53,6.401495456695557,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,53,1.7533669471740723,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,51,2.430940866470337,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,58,0.7357945442199707,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,50,3.5966362953186035,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,67,1.0335783958435059,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,55,1.3152134418487549,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
060,3,0,69,3.0679001808166504,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,71,1.5566058158874512,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,51,2.0960135459899902,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,63,1.738039255142212,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,70,0.6949169635772705,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,66,1.076469898223877,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,57,3.2810943126678467,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,63,1.8061621189117432,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,73,1.6676864624023438,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,2,0,53,11.23681378364563,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,64,5.222586154937744,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,1,0,72,4.698015928268433,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,67,4.520902633666992,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,49,6.235429763793945,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,62,12.0354585647583,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,62,10.548038721084595,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,75,11.156288385391235,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,71,9.783937215805054,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,0,75,2.1940181255340576,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,67,12.222768306732178,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,75,20.180710077285767,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,51,6.021229982376099,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,61,6.736840724945068,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,51,8.879246473312378,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,56,6.662203550338745,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,0,58,10.340375185012817,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,51,8.326773881912231,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,50,6.024495601654053,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,59,2.9309093952178955,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,53,13.295267820358276,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,46,10.376755237579346,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,70,10.23824691772461,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,0,66,9.940218925476074,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,1,0,53,10.250275135040283,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,51,11.423951625823975,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,63,1.715630292892456,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,67,3.4400789737701416,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,70,13.137104511260986,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,6.594555139541626,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,67,4.754842758178711,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,67,7.428961753845215,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,72,9.93207836151123,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,66,12.184265613555908,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,69,10.396955490112305,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,65,11.05894422531128,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,64,13.982861757278442,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,67,12.607342958450317,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,75,7.26050066947937,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,75,8.45579981803894,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,72,9.550751447677612,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,62,6.132186651229858,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,65,5.123931884765625,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,71,19.108335256576538,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,69,15.852110862731934,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,69,12.819047689437866,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,71,26.017005920410156,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,66,2.0669336318969727,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,57,8.247811079025269,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,51,2.0214641094207764,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,0,0,56,0.24363374710083008,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,53,7.565725088119507,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,0,47,2.522237777709961,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,62,0.4382612705230713,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,54,6.48150634765625,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,2,0,52,3.4439444541931152,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,46,6.034379720687866,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,64,12.500051975250244,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,63,3.4803736209869385,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,62,3.8629231452941895,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,63,3.3354389667510986,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,57,10.219262599945068,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,63,7.445976734161377,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,48,1.1251401901245117,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,57,8.981228113174438,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,61,11.124773263931274,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,57,8.149833679199219,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,69,0.9729154109954834,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,65,1.919250249862671,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,66,6.07694935798645,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,71,6.427940845489502,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,75,2.740055561065674,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,67,11.535503625869751,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,69,12.431126117706299,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,50,12.306910276412964,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,2,0,66,1.623842716217041,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,67,12.742456912994385,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,70,7.7688422203063965,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,0,63,29.90415358543396,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,70,10.839622259140015,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,0,75,19.042569637298584,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,71,28.035948514938354,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,53,4.437308311462402,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,71,0.745751142501831,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,65,1.2799417972564697,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,57,4.813786506652832,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,53,6.859215974807739,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,58,5.0159101486206055,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,61,4.469270944595337,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,53,13.233545303344727,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,50,7.8806140422821045,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,57,14.480701684951782,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,53,14.396782159805298,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,69,1.7512736320495605,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,52,7.051873683929443,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,68,3.7382166385650635,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,51,11.856373310089111,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,63,9.671466827392578,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,69,8.276947498321533,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,58,13.21942925453186,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,53,8.98572063446045,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,67,10.62086820602417,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,0,58,10.63009262084961,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,69,2.330822467803955,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,70,14.74378252029419,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,67,9.31598949432373,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,67,1.852158546447754,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,64,13.243170022964478,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,66,14.118435859680176,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,69,15.819643020629883,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,64,12.376821279525757,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,43,18.173797369003296,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
100,0,0,79,15.677043676376343,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,72,19.409927368164062,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,72,16.514429330825806,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,62,13.37902569770813,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
