005,0,0,48,0.1939713954925537,{'C': 206.913808111479, 'max_iter': 10000, 'penalty': 'l1', 'solver': 'liblinear'}
005,1,0,53,0.1892714500427246,{'C': 0.012742749857031334, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
005,2,0,34,0.23351550102233887,{'C': 3792.690190732246, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,3,0,44,0.2169499397277832,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
005,4,0,42,0.21355485916137695,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
010,0,0,43,0.22409439086914062,{'C': 3792.690190732246, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,1,0,50,0.2228529453277588,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,2,0,50,0.2188279628753662,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,3,0,50,0.2225816249847412,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,4,0,44,0.22254395484924316,{'C': 1.623776739188721, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,0,0,52,0.2208235263824463,{'C': 0.012742749857031334, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,1,0,61,0.21232175827026367,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,2,0,60,0.2166433334350586,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,3,0,48,0.21662497520446777,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,4,0,50,0.2142322063446045,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,0,0,50,0.18859314918518066,{'C': 10000.0, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,1,0,53,0.18017911911010742,{'C': 0.012742749857031334, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,2,0,60,0.183549165725708,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,3,0,57,0.1966261863708496,{'C': 10000.0, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,4,0,56,0.19291043281555176,{'C': 0.012742749857031334, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
030,0,0,48,0.22770977020263672,{'C': 206.913808111479, 'max_iter': 10000, 'penalty': 'l1', 'solver': 'liblinear'}
030,1,0,50,0.231719970703125,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
030,2,0,50,0.33786964416503906,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
030,3,0,48,0.22827625274658203,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
030,4,0,44,0.23488688468933105,{'C': 0.00026366508987303583, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
060,0,0,52,0.264451265335083,{'C': 29.763514416313132, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
060,1,0,50,0.21286916732788086,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
060,2,0,54,0.21483564376831055,{'C': 0.0018329807108324356, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
060,3,0,42,0.2145543098449707,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
060,4,0,47,0.22766709327697754,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
100,0,0,50,0.3514254093170166,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
100,1,0,40,0.3288140296936035,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
100,2,0,56,0.3235640525817871,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
100,3,0,50,0.4826622009277344,{'C': 10000.0, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
100,4,0,55,0.39475321769714355,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,0,0,52,0.2221512794494629,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
005,1,0,46,0.21317124366760254,{'C': 78.47599703514607, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,2,0,40,0.19121408462524414,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
005,3,0,44,0.2126297950744629,{'C': 1.623776739188721, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,4,0,60,0.22196054458618164,{'C': 29.763514416313132, 'max_iter': 10000, 'penalty': 'l1', 'solver': 'liblinear'}
010,0,0,50,0.20916318893432617,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
010,1,0,50,0.21390438079833984,{'C': 78.47599703514607, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,2,0,63,0.21907973289489746,{'C': 0.0018329807108324356, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
010,3,0,58,0.21876096725463867,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,4,0,52,0.20925307273864746,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,0,0,50,0.20780086517333984,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,1,0,50,0.22026634216308594,{'C': 4.281332398719396, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
