010,0,0,48,0.27094149589538574,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,53,0.7323179244995117,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,53,0.5648887157440186,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,57,1.596642017364502,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,56,0.9504806995391846,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,58,0.9562547206878662,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,42,0.5764861106872559,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,0,47,0.2156534194946289,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,1,0,58,0.32732105255126953,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,52,0.4251260757446289,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,56,1.7763161659240723,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,40,0.6040186882019043,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,53,0.2993190288543701,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,44,0.3254687786102295,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,58,1.8839218616485596,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,54,0.6750948429107666,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,63,0.298717737197876,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,46,0.45403552055358887,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,43,0.3110842704772949,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,52,2.0622105598449707,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,55,1.7200977802276611,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,47,1.888105869293213,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
060,3,0,53,1.1374218463897705,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,59,4.865328788757324,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,55,1.7661468982696533,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,61,0.4240269660949707,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,59,0.5682637691497803,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,54,0.6568207740783691,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,0,46,4.835149765014648,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,0,46,8.794794082641602,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,42,2.4650092124938965,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,9.277817249298096,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,57,1.6600744724273682,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,48,8.596466541290283,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,61,0.2743399143218994,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,48,10.320113897323608,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,1,0,48,10.126493692398071,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,59,13.420334815979004,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,39,12.733933448791504,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,41,14.847387790679932,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,50,11.203153133392334,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,49,1.0014731884002686,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,58,8.556602001190186,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,0,47,2.9828810691833496,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,0,50,5.560244798660278,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,65,17.501087427139282,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,47,17.720351696014404,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,52,15.59137487411499,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,55,19.473170518875122,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,2,0,58,2.823359251022339,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,43,8.092653036117554,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,46,7.296550750732422,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,49,7.128312826156616,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,47,11.461668729782104,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,48,19.036492347717285,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,53,21.776155710220337,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,58,14.55309772491455,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,0,0,54,9.954324007034302,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,0,51,23.364591598510742,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,53,20.260218381881714,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,55,1.3509893417358398,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,39,2.6068756580352783,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,36,0.33745718002319336,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,56,3.278174877166748,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,47,7.588421821594238,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,2.1875903606414795,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,53,4.559355974197388,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,4,0,60,2.3826639652252197,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,48,4.105544805526733,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,42,10.416367053985596,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,56,11.130027055740356,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,46,6.408446550369263,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,46,5.336011171340942,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,42,6.320095777511597,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,38,3.9511470794677734,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,51,6.5184526443481445,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,54,11.316929817199707,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,41,10.064371109008789,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,59,7.282435417175293,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,53,13.147972345352173,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,51,14.646610736846924,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,55,7.717747211456299,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,50,14.892638206481934,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,0,52,8.242255449295044,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,3,0,59,16.68219757080078,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,43,19.486188411712646,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,51,21.863775968551636,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,41,14.8393075466156,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,0,46,23.69086718559265,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,44,23.344348669052124,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,61,4.712579250335693,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,58,7.147405624389648,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,47,6.62747049331665,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,11.902064323425293,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,41,7.133387565612793,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,51,9.55869460105896,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,54,10.16067123413086,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,48,10.306073904037476,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,50,9.166518688201904,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,52,9.077609539031982,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,54,6.35893440246582,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,41,16.290630102157593,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,52,2.3961925506591797,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,0,40,3.4485902786254883,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,51,16.463798761367798,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,51,10.36634373664856,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,44,8.52786111831665,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,53,8.429278135299683,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,53,8.824192523956299,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,50,7.6250927448272705,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,52,11.688697814941406,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,50,10.406843185424805,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,49,6.94060754776001,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,2,0,49,17.313963174819946,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,0,0,52,20.332533836364746,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,52,16.773380756378174,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,48,14.574405431747437,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,57,17.012042760849,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,0,44,21.406291007995605,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,58,7.186767816543579,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,0,0,42,1.5482144355773926,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,55,4.936720132827759,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,43,4.212894439697266,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,47,5.849215745925903,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,45,4.093853950500488,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,53,4.280122756958008,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,45,7.947661399841309,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,64,8.500429391860962,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,53,1.157200574874878,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,1,0,51,2.482004165649414,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,45,2.8683884143829346,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,61,8.085190773010254,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,51,2.8375580310821533,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,3,0,54,3.0827085971832275,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,49,12.830461978912354,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,44,12.97468376159668,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,40,5.880311727523804,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,49,8.478899478912354,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,15.379473686218262,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,58,4.597150802612305,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,48,10.134427309036255,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,53,3.4786293506622314,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,54,13.53499150276184,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,45,13.46238374710083,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,0,52,15.46578311920166,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,46,17.082674741744995,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,42,22.981973886489868,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,47,10.468969583511353,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,51,14.536823034286499,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,0,53,11.5196213722229,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,46,4.241419315338135,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,57,2.575895071029663,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,45,5.757948160171509,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,47,5.888580799102783,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,0,52,5.0640552043914795,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,43,3.7681005001068115,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
