010,2,0,61,1.7661783695220947,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,58,3.572099208831787,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,53,4.614736557006836,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,52,2.222522258758545,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,59,3.6324121952056885,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,51,3.0832884311676025,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,54,1.0137317180633545,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,53,4.438500642776489,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,72,2.032879114151001,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,53,0.9329268932342529,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,1.2769811153411865,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,55,1.463280200958252,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,59,0.8942670822143555,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,64,1.2582600116729736,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,64,2.4555091857910156,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,58,2.918522596359253,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,60,2.9672436714172363,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,57,1.62078857421875,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,68,1.8154957294464111,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,58,3.544931650161743,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,3.915879011154175,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,68,1.2981655597686768,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,3.6381313800811768,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,2,0,66,2.184364080429077,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,72,4.948824644088745,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,0,52,1.4045889377593994,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
100,4,0,65,4.937077522277832,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,65,4.958481311798096,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,67,5.927316188812256,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,51,9.708848237991333,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
100,2,0,72,9.327716827392578,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,55,4.052521467208862,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,65,10.630973100662231,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,69,12.533500671386719,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,0,0,65,3.6839897632598877,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
005,4,0,51,2.441716432571411,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,53,6.5808539390563965,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,52,8.49906849861145,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,61,8.539662837982178,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,54,17.004124641418457,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,53,15.454411745071411,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,64,13.131739139556885,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,54,14.517761468887329,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,58,18.966801404953003,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,53,18.69607925415039,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,69,8.929011583328247,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,72,3.9624767303466797,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,4.8171093463897705,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,58,14.418068647384644,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,24.807100534439087,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,65,7.18725323677063,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,58,17.02392292022705,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,55,7.067023515701294,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,60,15.523524045944214,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,2,0,65,22.533493280410767,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,60,23.275312662124634,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,52,18.771846771240234,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,59,16.106566905975342,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,2,0,57,25.8491473197937,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,58,23.312345266342163,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,69,26.965880870819092,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,71,17.82675051689148,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,65,22.463788509368896,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,71,28.542726516723633,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,66,35.50194478034973,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,2,0,72,41.75820326805115,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,72,42.04314947128296,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,70,49.37543773651123,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,65,26.30436944961548,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,72,42.149593114852905,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,53,5.54686427116394,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,52,8.258173942565918,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,57,3.109461784362793,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,53,13.83345341682434,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,54,14.611050844192505,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,69,6.531091928482056,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,58,16.368491411209106,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,51,17.347642421722412,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,72,10.150670528411865,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,58,9.768789529800415,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,58,13.386742115020752,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,15.972408533096313,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,64,15.829109191894531,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,4.9541027545928955,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,53,22.943498611450195,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,60,15.327201843261719,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,58,10.788432359695435,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,69,2.781792402267456,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,61,25.097700119018555,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,54,22.36488628387451,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,21.003633737564087,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,61,11.478615760803223,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,62,13.085105895996094,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,55,12.128315448760986,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,66,13.07271933555603,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,68,11.135633945465088,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,73,29.3567156791687,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,71,18.152852535247803,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,59,27.879944562911987,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,0,65,26.30686640739441,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,2,0,65,19.180869817733765,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,65,16.070653915405273,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,66,43.97434091567993,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,1,0,70,33.41566252708435,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,72,18.88694477081299,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,52,10.902217626571655,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,53,9.554574728012085,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,51,7.481616735458374,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,58,10.225481510162354,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,53,8.800347089767456,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,64,2.4362213611602783,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,58,4.468844175338745,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,54,17.808215379714966,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,54,9.565374612808228,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,61,9.665414571762085,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,58,11.302594184875488,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,69,10.912247896194458,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,58,6.148027658462524,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,7.576438665390015,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,58,15.17417049407959,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,55,4.40771746635437,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,60,15.782751560211182,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,9.213649272918701,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,72,15.490639686584473,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,59,14.5966055393219,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,2,0,57,15.250873327255249,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,20.043211460113525,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,66,19.3135347366333,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,71,21.802424907684326,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,61,20.251676559448242,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,66,23.892271518707275,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,65,26.309045553207397,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,69,25.070645332336426,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,0,0,72,20.995635747909546,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,53,33.800671339035034,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,67,23.744915008544922,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,1,0,72,36.866748094558716,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,72,33.23320126533508,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,65,29.59222984313965,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,66,34.07183599472046,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,51,6.782614231109619,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,58,7.920250654220581,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,58,2.0998330116271973,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,61,7.751295804977417,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,4.24667501449585,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,53,16.32675862312317,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,57,3.7499406337738037,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,56,16.33832573890686,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,58,20.093480110168457,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,60,17.016031742095947,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,58,8.79298210144043,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,53,24.384148359298706,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,64,20.102756023406982,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,52,25.730432271957397,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,72,15.267481088638306,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,19.95774269104004,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,58,9.579415798187256,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,54,23.274309396743774,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,55,18.112321138381958,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,59,23.320920705795288,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,65,24.423649072647095,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,66,24.587894916534424,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,71,21.685484170913696,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,62,29.127176761627197,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,69,29.414528131484985,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,61,33.01518201828003,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,2,0,66,18.64084219932556,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,71,32.813230752944946,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,67,33.279112577438354,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,68,28.262080907821655,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,70,28.904424905776978,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,70,33.16451907157898,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,65,32.02853488922119,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,4,0,65,32.87616586685181,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,3,0,65,47.539957761764526,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,52,6.0972065925598145,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,65,1.6898689270019531,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,60,7.45433783531189,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,54,1.1344659328460693,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,9.993007898330688,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,58,14.58245587348938,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,58,15.62766170501709,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,58,6.714609384536743,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,6.38691520690918,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,68,7.939706802368164,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,53,24.047163009643555,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,59,10.79159927368164,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,71,9.226877212524414,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,51,23.46529984474182,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,69,10.617337942123413,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
