005,0,0,55,0.5256597995758057,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,59,0.4356110095977783,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,50,0.2929399013519287,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,58,0.3898124694824219,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,51,1.6016697883605957,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,53,2.56972599029541,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,56,1.4314820766448975,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,46,0.6180882453918457,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,58,2.5009360313415527,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,48,2.3235950469970703,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,58,0.9098787307739258,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,0,66,2.3004157543182373,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,56,0.6150486469268799,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,58,2.344090700149536,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,49,1.4252541065216064,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,51,3.760859966278076,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,58,0.3941824436187744,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,0,0,60,0.7399415969848633,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,54,1.841562032699585,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,52,0.6537792682647705,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,69,1.980720043182373,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,59,0.9926378726959229,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,65,1.2587239742279053,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,69,2.1365532875061035,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,63,2.6784939765930176,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,59,0.5762839317321777,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,62,0.8039278984069824,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,63,0.3041503429412842,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,63,4.675110578536987,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,46,12.236736297607422,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,0,56,2.4064133167266846,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,0,53,1.7738585472106934,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,0,71,10.16784954071045,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,71,7.825478792190552,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,54,4.226003170013428,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,54,0.8736162185668945,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,2,0,52,4.7830071449279785,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,52,6.453471660614014,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,52,4.5651021003723145,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,5.177390098571777,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,64,9.965053081512451,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,61,8.244940042495728,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,53,1.9497606754302979,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,59,1.6552016735076904,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,49,4.795508861541748,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,58,4.227556467056274,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,50,5.495349645614624,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,54,10.956859827041626,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,59,9.884356498718262,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,65,6.722314834594727,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,63,3.6408615112304688,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,46,7.88260817527771,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,56,5.6241395473480225,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,49,0.6443116664886475,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
