010,3,0,61,3.3062491416931152,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,0,47,0.25661301612854004,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,52,2.5959672927856445,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,0,0,60,4.6919026374816895,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,48,2.589282989501953,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,0,61,1.0959100723266602,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,2,0,69,3.9958508014678955,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,52,1.3476474285125732,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,48,0.3070549964904785,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,66,2.7259490489959717,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,58,2.2104108333587646,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,66,5.201255559921265,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,71,5.196040868759155,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,4,0,58,1.3038511276245117,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,0,73,7.488095283508301,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,56,1.2239270210266113,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,3,0,68,14.444000720977783,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,50,3.2191004753112793,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,3,0,71,4.969571828842163,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,68,2.013279438018799,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,0,47,2.0060172080993652,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
020,0,0,65,3.232952833175659,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,62,2.127011775970459,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,71,4.399664878845215,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,51,0.6588742733001709,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
100,1,0,69,12.307036399841309,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,0,50,1.9799609184265137,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,51,2.0542871952056885,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,63,3.7012765407562256,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,68,10.645278692245483,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,59,0.48618507385253906,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,69,1.4713935852050781,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,66,4.939677953720093,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,66,6.7079503536224365,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,71,11.189975023269653,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,58,0.5438511371612549,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,49,0.3892807960510254,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,56,0.56524658203125,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,0,66,0.3510317802429199,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,44,0.7671566009521484,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,57,0.7683870792388916,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,63,0.6279957294464111,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,63,0.4067559242248535,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,62,0.4466884136199951,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
015,2,0,59,0.5688772201538086,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,66,0.4383208751678467,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,51,5.758545875549316,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,53,0.7082183361053467,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,48,1.244154930114746,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,52,0.6793854236602783,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,61,0.44236183166503906,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,69,0.9110026359558105,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,65,0.7283072471618652,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,56,0.6150205135345459,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,65,0.7224223613739014,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,62,1.4384660720825195,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,61,7.415544748306274,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,52,1.1726133823394775,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,0,75,2.821556806564331,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,75,2.2639858722686768,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,68,2.30167818069458,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,71,2.385369062423706,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,73,2.6412317752838135,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,0,67,0.4627814292907715,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,4,0,73,2.841254711151123,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,71,4.231588840484619,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,0,0,67,1.0429356098175049,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,58,4.96966814994812,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,55,4.4212751388549805,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,69,4.160830497741699,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,58,0.36316943168640137,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,55,0.31347084045410156,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,54,0.43038487434387207,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,3,0,50,0.35425543785095215,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,53,0.42481422424316406,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,52,0.3628549575805664,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,0.5326473712921143,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,62,0.33044886589050293,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,54,0.47963929176330566,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
015,0,0,63,0.5785436630249023,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,55,0.507786750793457,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,65,0.508225679397583,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
015,3,0,53,0.6102421283721924,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,71,0.6401669979095459,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,59,0.6561570167541504,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,57,1.1904172897338867,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,58,0.439056396484375,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,68,0.8088953495025635,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,0,0,61,0.8858442306518555,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,68,1.0430607795715332,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,72,1.0641231536865234,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,71,1.2074480056762695,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,59,9.237781286239624,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,69,2.5928144454956055,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,0,69,1.7692725658416748,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,55,1.2335026264190674,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,4,0,77,1.81392502784729,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,75,2.0155816078186035,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,73,9.193919897079468,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,58,2.4288840293884277,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,65,3.6201460361480713,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,66,1.159728765487671,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,67,3.6540865898132324,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,68,4.633273363113403,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,53,22.536557912826538,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,58,0.2618846893310547,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,52,0.35761380195617676,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,53,0.38140177726745605,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,0.44748878479003906,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,0,75,0.4035837650299072,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,48,0.3826925754547119,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,1,0,46,0.3339719772338867,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,63,0.5007917881011963,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,55,0.6398799419403076,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,54,0.8170466423034668,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,57,0.7425246238708496,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,52,0.45116567611694336,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,62,0.4376797676086426,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
015,2,0,59,0.4405851364135742,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,50,1.2423861026763916,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,65,0.5127053260803223,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,67,0.7503502368927002,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,56,0.6503431797027588,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,68,0.4947633743286133,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,64,0.8647940158843994,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,61,0.8783938884735107,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,51,1.0229575634002686,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,0,68,1.113022804260254,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,70,0.6919920444488525,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,69,0.8153512477874756,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,56,1.453289270401001,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,3,0,73,1.9046459197998047,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,4,0,61,4.248701333999634,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,71,1.171241044998169,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,68,1.2129178047180176,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,0,66,1.510033130645752,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,2,0,67,4.0984907150268555,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
030,2,0,61,3.9626269340515137,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,67,10.456140756607056,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,71,15.499089002609253,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
