5,0,8000,66,15.7450316,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
5,1,8000,62,19.44807887,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
5,2,8000,48,15.83243895,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'},
5,3,8000,67,16.20354056,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'},
5,4,8000,59,12.01570773,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'adam'},
10,0,8000,66,15.94651294,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
10,1,8000,64,19.84194827,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'adam'}
10,2,8000,67,17.98016047,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'max_iter': 5000, 'solver': 'sgd'},
10,3,8000,68,17.96008444,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
10,4,8000,68,20.0294137,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
15,0,8000,71,23.54805684,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'adam'}
15,1,8000,60,21.67965961,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'adaptive', 'max_iter': 5000, 'solver': 'sgd'}
15,2,8000,63,21.56258583,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'adam'},
15,3,8000,71,20.52673745,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'max_iter': 5000, 'solver': 'sgd'},
15,4,8000,70,23.21073389,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'},
20,0,8000,70,23.15305877,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'adam'},
20,1,8000,62,23.95299482,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'adam'},
20,2,8000,72,22.7423563,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'},
20,3,8000,72,22.98967242,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'}
20,4,8000,70,25.23237181,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'}
30,0,8000,68,26.01272726,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'sgd'}
30,1,8000,67,23.92029858,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'},
30,2,8000,66,25.86596704,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
30,3,8000,72,24.67724848,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
30,4,8000,73,26.31935477,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'},
60,0,8000,67,30.91598439,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'adam'},
60,1,8000,69,30.8955102,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'},
60,2,8000,76,29.88539052,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (25,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'adam'},
60,3,8000,73,31.66734338,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'sgd'}
60,4,8000,75,31.74786663,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'},
100,0,8000,77,44.63964558,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'},
100,1,8000,77,41.78283501,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'}
100,2,8000,72,52.85802269,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'adam'},
100,3,8000,74,45.32173157,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (25,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
100,4,8000,70,57.6061604,{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'adaptive', 'max_iter': 20000, 'solver': 'adam'},
5,0,8000,64,15.75201941,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'},
5,1,8000,62,18.29014993,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,25, 50), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'adam'}
