005,0,8000,62,0.26071834564208984,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,8000,61,0.27251744270324707,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,8000,49,0.27272486686706543,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,8000,66,0.2763690948486328,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,8000,62,0.2654297351837158,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,70,0.29712367057800293,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,8000,60,0.30470728874206543,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,8000,55,0.2953464984893799,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,8000,59,0.28693366050720215,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,8000,70,0.2946491241455078,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,71,0.3222179412841797,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,8000,66,0.315169095993042,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,69,0.3256711959838867,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,72,0.318859338760376,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,70,0.3220365047454834,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,8000,72,0.3403041362762451,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,8000,63,0.342174768447876,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,8000,72,0.34390926361083984,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,8000,67,0.32967448234558105,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,8000,70,0.34931421279907227,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,8000,70,0.3952474594116211,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,8000,74,0.3878605365753174,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,67,0.3939502239227295,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,8000,74,0.395233154296875,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,8000,74,0.3985621929168701,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,8000,74,0.6269407272338867,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,8000,69,0.617051362991333,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,8000,68,0.6108384132385254,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,8000,72,0.6124556064605713,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,69,0.6135549545288086,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,0,8000,72,0.9832580089569092,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,8000,73,0.9858622550964355,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,8000,74,0.9674272537231445,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,8000,74,0.9931621551513672,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,77,0.9825739860534668,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,8000,62,0.2605912685394287,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,8000,62,0.2695741653442383,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,8000,54,0.270953893661499,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,8000,66,0.2739861011505127,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,8000,62,0.2639737129211426,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,68,0.2944297790527344,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,8000,59,0.3017270565032959,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
010,2,8000,59,0.29343605041503906,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,8000,71,0.28585052490234375,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,8000,72,0.298306941986084,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,8000,71,0.3207080364227295,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,8000,69,0.312542200088501,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,8000,67,0.3233771324157715,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,8000,71,0.31088900566101074,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,4,8000,72,0.32099223136901855,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
