005,0,8000,62,0.26725339889526367,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,8000,62,0.24808454513549805,{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
005,2,8000,59,0.5080652236938477,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,8000,62,0.25273561477661133,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,8000,64,0.3332219123840332,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,8000,62,0.845224142074585,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,8000,60,0.2979257106781006,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,8000,66,0.6565074920654297,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,8000,64,0.2916758060455322,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,8000,61,0.4568030834197998,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,60,0.9082088470458984,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,8000,62,0.31891441345214844,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,8000,64,0.2994999885559082,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,8000,60,0.5459413528442383,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,8000,62,0.4513707160949707,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,8000,64,0.40070605278015137,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,1,8000,63,2.0278990268707275,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,2,8000,64,0.3428022861480713,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,8000,63,0.43609070777893066,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,8000,61,0.48866939544677734,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,8000,64,2.968205690383911,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,8000,63,0.8793089389801025,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,62,2.05421781539917,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,3,8000,64,1.3932726383209229,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,8000,60,0.712393045425415,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,0,8000,65,3.857780694961548,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,59,6.97502875328064,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,8000,62,3.7073850631713867,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,8000,60,5.949150323867798,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,8000,63,17.534208059310913,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,8000,62,30.425809860229492,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,1,8000,60,20.667839527130127,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,2,8000,62,24.3085994720459,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,3,8000,59,25.466728687286377,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,8000,64,23.478880405426025,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,8000,62,0.27016568183898926,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,8000,61,0.24917340278625488,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,2,8000,60,0.49135518074035645,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,8000,61,0.2579362392425537,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,8000,60,0.3411126136779785,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,8000,62,0.7038371562957764,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,8000,64,0.2886972427368164,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,8000,66,0.5634269714355469,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,8000,63,0.2846522331237793,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,8000,62,0.4271202087402344,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,61,0.7599632740020752,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,8000,62,0.2973952293395996,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,8000,62,0.2841365337371826,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,8000,62,0.4656410217285156,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,8000,63,0.4062788486480713,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,8000,62,0.4770684242248535,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,8000,62,2.4279749393463135,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,2,8000,64,0.3360555171966553,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,8000,63,0.41423487663269043,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,8000,63,0.4478633403778076,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,8000,64,2.5620694160461426,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,8000,63,0.8843333721160889,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,63,2.128227710723877,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,8000,64,1.8883318901062012,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,8000,62,0.6496844291687012,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,0,8000,64,2.5465962886810303,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,8000,59,7.857830047607422,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,8000,58,7.495900630950928,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,3,8000,60,4.20886754989624,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,8000,62,7.234695911407471,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,62,42.418044090270996,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,8000,60,25.16083002090454,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,2,8000,62,12.669149160385132,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,3,8000,62,26.429816722869873,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,60,30.597031354904175,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
