005,0,8000,64,0.47734546661376953,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
005,1,8000,66,0.50498366355896,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,8000,60,0.5235140323638916,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,8000,69,0.4988381862640381,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,8000,62,0.49806952476501465,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,8000,66,0.5998756885528564,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,68,0.5889561176300049,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,72,0.5689728260040283,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,8000,68,0.5495414733886719,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,69,0.5601565837860107,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,8000,74,0.6310584545135498,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,8000,70,0.6556816101074219,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,8000,72,0.6333825588226318,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,8000,71,0.6609647274017334,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,66,0.6613280773162842,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,8000,70,0.7263777256011963,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,8000,72,0.7568867206573486,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,8000,75,0.7498693466186523,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,71,0.7644438743591309,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,8000,69,0.7374935150146484,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,8000,73,0.8854444026947021,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,8000,74,1.0013129711151123,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,8000,73,0.931502103805542,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,8000,76,0.9653031826019287,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,72,0.8820745944976807,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,76,1.5979301929473877,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,77,1.6028509140014648,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,74,1.586209774017334,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,8000,75,1.7357523441314697,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,75,1.582179069519043,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,78,2.767301559448242,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,75,2.804121732711792,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,8000,75,2.659846782684326,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,76,2.7682721614837646,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,8000,76,2.7309656143188477,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,8000,63,0.5153532028198242,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,8000,66,0.5272631645202637,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,8000,60,0.5490145683288574,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,8000,68,0.5216038227081299,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,8000,59,0.5274085998535156,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,8000,66,0.6430778503417969,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,8000,68,0.6155858039855957,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,72,0.5802292823791504,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,8000,68,0.6008150577545166,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,69,0.6010599136352539,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,8000,70,0.6645407676696777,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
