005,0,0,50,0.20778393745422363,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,59,0.18528032302856445,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,0.18633317947387695,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,58,0.18527483940124512,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,51,0.1856060028076172,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,54,0.19050335884094238,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,57,0.18802714347839355,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,68,0.18852686882019043,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,51,0.1913447380065918,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,69,0.18733000755310059,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,72,0.19565129280090332,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,64,0.1958756446838379,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,66,0.19858241081237793,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,0.1944587230682373,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,67,0.19631028175354004,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,65,0.20384979248046875,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
020,1,0,64,0.20596766471862793,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,58,0.20315909385681152,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,68,0.20100140571594238,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,0,67,0.2010509967803955,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
030,0,0,68,0.22500133514404297,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,0,66,0.22422075271606445,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,70,0.22318458557128906,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
030,3,0,70,0.2224867343902588,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,0,75,0.22990155220031738,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,71,0.3444554805755615,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
060,1,0,72,0.34299731254577637,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,70,0.33409571647644043,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,70,0.33763885498046875,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,70,0.33231639862060547,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,70,0.5982327461242676,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,74,0.5981483459472656,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,73,0.5707573890686035,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
100,3,0,75,0.5834627151489258,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,4,0,74,0.5773231983184814,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,60,0.18176913261413574,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
005,1,0,59,0.18164515495300293,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,54,0.1815493106842041,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,50,0.18254494667053223,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,52,0.18185782432556152,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,66,0.18604612350463867,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,60,0.18665647506713867,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,68,0.1885838508605957,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,50,0.18792080879211426,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,68,0.18512487411499023,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
015,0,0,70,0.19435858726501465,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,48,0.19402194023132324,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,51,0.19234180450439453,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,68,0.19507670402526855,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,68,0.19268083572387695,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,70,0.19900250434875488,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,0.20349502563476562,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
020,2,0,66,0.20419549942016602,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,69,0.2012772560119629,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,66,0.2007901668548584,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,74,0.22529172897338867,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,70,0.2228536605834961,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,71,0.22304558753967285,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,68,0.22233343124389648,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
030,4,0,76,0.2268993854522705,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,0,0,71,0.3412196636199951,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,68,0.3432736396789551,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,67,0.33099842071533203,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,0,71,0.33843088150024414,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,70,0.33561015129089355,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,75,0.5955235958099365,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,71,0.6023216247558594,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,73,0.5715715885162354,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
100,3,0,75,0.5871508121490479,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,4,0,74,0.5760102272033691,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,64,0.18407583236694336,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,59,0.18294501304626465,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,55,0.18449044227600098,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,57,0.18237066268920898,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,67,0.18239665031433105,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,57,0.19019508361816406,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,57,0.1898360252380371,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,63,0.1906445026397705,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,59,0.19144582748413086,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,68,0.19282913208007812,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,50,0.19739532470703125,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,63,0.2001209259033203,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,51,0.19831061363220215,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,68,0.19988679885864258,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,67,0.19884371757507324,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,68,0.206528902053833,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
020,1,0,64,0.20798540115356445,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,68,0.20873022079467773,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,68,0.20524287223815918,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,65,0.206770658493042,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,62,0.22869372367858887,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,0,73,0.22919702529907227,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
030,2,0,65,0.2288835048675537,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,70,0.22775721549987793,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,74,0.23047351837158203,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,68,0.3462066650390625,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,68,0.3477661609649658,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,72,0.33664512634277344,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,68,0.3448913097381592,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,0,71,0.33606958389282227,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,0,75,0.5940577983856201,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,74,0.605273962020874,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
100,2,0,73,0.574368953704834,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
100,3,0,75,0.5889608860015869,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,74,0.5788726806640625,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,65,0.1801760196685791,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,59,0.18053293228149414,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,54,0.18137478828430176,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,0.18078207969665527,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,67,0.1801614761352539,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,55,0.18509578704833984,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,60,0.1850907802581787,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,69,0.18515586853027344,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,54,0.18546652793884277,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,70,0.18517088890075684,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,66,0.19417643547058105,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,59,0.19418597221374512,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,68,0.19441890716552734,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
015,3,0,67,0.19427013397216797,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,68,0.19420385360717773,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,72,0.20248723030090332,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,66,0.20140790939331055,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
020,2,0,68,0.20393919944763184,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,69,0.20259451866149902,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,0,56,0.2021646499633789,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,0,71,0.22567152976989746,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
030,1,0,73,0.22400665283203125,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
030,2,0,69,0.22551918029785156,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
030,3,0,66,0.22096657752990723,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,75,0.2249760627746582,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,71,0.34197187423706055,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,73,0.34525036811828613,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,67,0.33222103118896484,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,0,68,0.3388404846191406,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,0,68,0.33182644844055176,{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
100,0,0,75,0.6003973484039307,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
