005,0,0,65,0.17795562744140625,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,69,0.17757415771484375,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,54,0.1776127815246582,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,63,0.1772141456604004,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,64,0.17748689651489258,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,63,0.18427824974060059,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,66,0.18237066268920898,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,57,0.184614896774292,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,64,0.18481945991516113,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,58,0.18389892578125,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,60,0.1898658275604248,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,62,0.19551515579223633,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,44,0.19560861587524414,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,56,0.2107236385345459,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,61,0.18851017951965332,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,68,0.2750105857849121,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,61,0.20778894424438477,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,51,0.20319104194641113,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
020,3,0,65,0.24677014350891113,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,59,0.20363140106201172,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,70,0.23930788040161133,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,62,0.300037145614624,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,68,0.2591416835784912,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,68,0.3802645206451416,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
030,4,0,69,0.28888916969299316,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,68,0.7396574020385742,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,1,0,67,1.0410966873168945,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,63,0.5670120716094971,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,68,0.7144577503204346,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,69,0.7142713069915771,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,65,1.7602415084838867,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,1,0,69,1.4627690315246582,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,0,71,1.24788498878479,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,0,65,1.4473531246185303,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,4,0,67,1.185497760772705,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,0,0,66,0.17746543884277344,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,64,0.17856740951538086,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,0.1771528720855713,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,58,0.17823553085327148,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,67,0.17795658111572266,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,62,0.18453431129455566,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,52,0.18308639526367188,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
010,2,0,57,0.18589138984680176,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,60,0.18586421012878418,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,58,0.18417572975158691,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,60,0.1910405158996582,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,58,0.1949920654296875,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
015,2,0,44,0.1915590763092041,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,58,0.20148587226867676,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,60,0.19337725639343262,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,0,0,59,0.2367098331451416,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,61,0.20927953720092773,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
