005,0,0,47,0.20005321502685547,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,71,0.1939406394958496,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,52,0.19377708435058594,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,52,0.1935868263244629,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,63,0.19510960578918457,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,0,64,0.19896984100341797,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,64,0.19916224479675293,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,68,0.2047576904296875,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,64,0.19927525520324707,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,62,0.20049071311950684,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,74,0.2123279571533203,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,68,0.20951437950134277,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,68,0.2096867561340332,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,60,0.21321344375610352,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,68,0.20787954330444336,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,72,0.22727417945861816,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,71,0.22431206703186035,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,70,0.22490811347961426,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,72,0.22456002235412598,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,58,0.22539186477661133,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,71,0.2582850456237793,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,69,0.25966429710388184,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,64,0.2539691925048828,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,0,75,0.2598285675048828,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,74,0.2580850124359131,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
