005,0,0,57,0.19238066673278809,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,65,0.18973278999328613,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,52,0.18722939491271973,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
005,3,0,52,0.18752050399780273,{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
005,4,0,48,0.18834853172302246,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
010,0,0,52,0.19091343879699707,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,57,0.19051265716552734,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,55,0.19059538841247559,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,57,0.19028759002685547,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,57,0.19083714485168457,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,53,0.19590163230895996,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,56,0.19440531730651855,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,55,0.19863605499267578,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,61,0.19698047637939453,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,52,0.1988973617553711,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,61,0.20267701148986816,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,57,0.20697402954101562,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,62,0.20185613632202148,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,62,0.20453906059265137,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,64,0.20461511611938477,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,57,0.22341465950012207,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,62,0.21988534927368164,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,63,0.2258739471435547,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,61,0.22131943702697754,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,58,0.22309494018554688,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,0,0,62,0.542898416519165,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,62,0.4927554130554199,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,0,63,0.5345149040222168,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,3,0,62,0.4511294364929199,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,4,0,64,0.5064163208007812,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,0,0,63,6.998816013336182,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,1,0,60,5.727495908737183,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,2,0,62,5.219048976898193,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,3,0,61,7.842010021209717,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,4,0,63,4.6847052574157715,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,57,0.18252134323120117,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,62,0.18224287033081055,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,49,0.18671536445617676,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,52,0.1839911937713623,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,59,0.18481802940368652,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,52,0.1892399787902832,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,57,0.18967413902282715,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,60,0.19002151489257812,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,54,0.18966245651245117,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,50,0.19118022918701172,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,53,0.19581294059753418,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,60,0.19364690780639648,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,55,0.19678401947021484,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,62,0.19504261016845703,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,57,0.19761228561401367,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,62,0.20083189010620117,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,57,0.20479702949523926,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,62,0.20091915130615234,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,60,0.20305514335632324,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,57,0.2009575366973877,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,60,0.22310233116149902,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,60,0.21941184997558594,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,62,0.22144699096679688,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,62,0.21984362602233887,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,62,0.22248101234436035,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,62,0.6202306747436523,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,58,0.6411888599395752,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
060,2,0,62,0.5575909614562988,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,3,0,62,0.5062880516052246,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,64,0.5069329738616943,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,0,0,61,6.895984888076782,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,61,6.518558502197266,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,61,8.350403547286987,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,3,0,61,7.66497802734375,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,4,0,61,6.800736904144287,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
