005,0,0,56,0.19100165367126465,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,57,0.19022107124328613,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,60,0.19140338897705078,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,68,0.19028186798095703,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,52,0.19048404693603516,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,57,0.2027571201324463,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,54,0.20232915878295898,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,56,0.20187711715698242,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,68,0.2025773525238037,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,62,0.20287609100341797,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,70,0.22506022453308105,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,66,0.22259235382080078,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,72,0.22405719757080078,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,66,0.2264854907989502,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,55,0.22172856330871582,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,70,0.25520825386047363,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,72,0.25438976287841797,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,71,0.2580287456512451,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,70,0.255324125289917,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,68,0.25559067726135254,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,74,0.31527161598205566,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,71,0.3188645839691162,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,68,0.31807923316955566,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,71,0.32111334800720215,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,69,0.31551146507263184,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,71,0.6424334049224854,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,68,0.6330537796020508,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,68,0.6555452346801758,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,75,0.6556282043457031,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,74,0.6451022624969482,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,77,1.4536023139953613,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,77,1.5427508354187012,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,70,1.429459810256958,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,77,1.4227838516235352,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,70,1.4380452632904053,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,60,0.19032716751098633,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,68,0.18815040588378906,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,61,0.190260648727417,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,55,0.1882319450378418,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,0.18938946723937988,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
