005,0,0,62,0.6480734348297119,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.5120596885681152,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.672074556350708,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.5600597858428955,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.6480700969696045,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,55,0.5840613842010498,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,53,0.6000633239746094,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,61,0.49605369567871094,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,0.5120546817779541,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,1.2904131412506104,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,66,1.2744102478027344,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,66,0.5120549201965332,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,66,1.2024023532867432,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,68,0.9223752021789551,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,67,1.0823934078216553,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,66,1.202409267425537,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,67,0.7280809879302979,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,72,0.9441027641296387,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,67,0.6960761547088623,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,67,1.0401148796081543,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,68,0.688072919845581,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,63,0.6240646839141846,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,68,0.6960711479187012,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,55,0.530109167098999,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,59,1.362198829650879,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,0,0,68,0.7440841197967529,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,67,0.8160929679870605,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,69,0.7920875549316406,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,72,1.9805312156677246,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,68,1.5521702766418457,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,75,1.5783977508544922,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,72,1.426377773284912,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,72,1.3463704586029053,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,72,2.0104455947875977,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,75,1.7224116325378418,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,62,0.4662461280822754,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,62,0.5280556678771973,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,0.5360569953918457,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,62,0.8160879611968994,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,0.5760624408721924,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,61,0.832089900970459,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,64,1.0801165103912354,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,62,1.2561357021331787,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,1.0801172256469727,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,53,1.3281421661376953,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,69,1.2986633777618408,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,53,1.2906615734100342,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,67,1.3946735858917236,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,71,1.2321360111236572,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,67,0.9521024227142334,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
