005,0,0,53,0.18335890769958496,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,63,0.18111824989318848,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,56,0.18169808387756348,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,55,0.18190431594848633,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,61,0.18030428886413574,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,52,0.19527697563171387,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,60,0.19571447372436523,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,55,0.19477295875549316,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,60,0.19437932968139648,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,70,0.19431018829345703,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,49,0.21856307983398438,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,65,0.21364259719848633,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,0.21543407440185547,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,65,0.21532988548278809,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,52,0.21626663208007812,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,68,0.24231648445129395,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,57,0.2433016300201416,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,51,0.24667954444885254,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,54,0.2429511547088623,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,54,0.24506664276123047,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,65,0.31348299980163574,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,72,0.3101806640625,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,66,0.3109016418457031,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,70,0.31098151206970215,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,74,0.31369566917419434,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,68,0.6078886985778809,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,50,0.6197526454925537,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,2,0,70,0.5898537635803223,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,72,0.6008093357086182,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,70,0.5885710716247559,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,0,70,0.9601483345031738,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,70,0.9702754020690918,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,71,0.9664156436920166,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,70,0.9670965671539307,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,70,0.9746510982513428,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,51,0.18530535697937012,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,63,0.180908203125,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,56,0.18028712272644043,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,65,0.17998862266540527,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,61,0.17921996116638184,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,52,0.19449591636657715,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,60,0.19364452362060547,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,58,0.19365262985229492,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,56,0.19480466842651367,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,50,0.194352388381958,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,60,0.21454930305480957,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,0,57,0.21564555168151855,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,2,0,52,0.21612811088562012,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,63,0.21542787551879883,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,68,0.2136521339416504,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,67,0.2404937744140625,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,57,0.24339604377746582,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,63,0.2430129051208496,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,68,0.2393946647644043,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,64,0.240034818649292,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,55,0.3157057762145996,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
030,1,0,72,0.30925583839416504,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,66,0.3106727600097656,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,70,0.3125183582305908,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,54,0.3122830390930176,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,0,0,67,0.6062049865722656,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,66,0.6091129779815674,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,69,0.5893282890319824,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,72,0.601224422454834,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,69,0.5837032794952393,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,0,0,70,0.9564049243927002,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,71,0.9676637649536133,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,71,0.970491886138916,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,71,0.9674251079559326,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,70,0.9638276100158691,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,51,0.18694686889648438,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,63,0.18479108810424805,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,51,0.18295574188232422,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,65,0.18245220184326172,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,61,0.18222641944885254,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,57,0.1968090534210205,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,63,0.1962137222290039,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,55,0.19745254516601562,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,56,0.19724369049072266,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,50,0.19711065292358398,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,49,0.21882343292236328,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,50,0.21712732315063477,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,52,0.2181403636932373,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,55,0.21896004676818848,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,66,0.21782994270324707,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,66,0.24386835098266602,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,60,0.2425239086151123,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,63,0.24235939979553223,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,68,0.24376320838928223,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,63,0.2461378574371338,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,0,52,0.3206620216369629,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,1,0,72,0.3161180019378662,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,66,0.31224513053894043,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
