005,0,0,55,0.258373498916626,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,70,0.6814115047454834,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,75,0.31325721740722656,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,1.8516733646392822,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,65,0.37888216972351074,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,1.9510879516601562,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,70,2.46583890914917,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,65,5.376456022262573,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,2,0,50,2.3292016983032227,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,80,3.6694726943969727,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,55,6.275670528411865,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,55,0.8719518184661865,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,50,1.2580640316009521,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,75,2.5207672119140625,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,60,3.7230265140533447,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,65,4.042645692825317,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,4.089350938796997,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,70,5.684185266494751,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,4.257129907608032,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,80,5.284801721572876,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,55,5.852530479431152,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,4.558355093002319,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,65,3.488720417022705,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,45,5.556563854217529,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,70,10.450454950332642,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,70,6.171936511993408,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,2.4657559394836426,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,75,7.045589447021484,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,50,10.478864669799805,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,65,3.9688973426818848,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,75,13.772335529327393,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
