015,4,0,60,173.08437323570251,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,4,0,50,281.66644287109375,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
020,3,0,65,256.88596653938293,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,3,0,75,294.17180728912354,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,0,0,75,314.83154463768005,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
020,0,0,70,299.1185870170593,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,2,0,65,346.8433995246887,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,0,0,75,380.71398305892944,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,0,0,60,385.92591166496277,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
005,2,0,55,385.4049172401428,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}
005,3,0,70,377.7955856323242,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
020,1,0,70,362.2603816986084,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,1,0,75,389.6318063735962,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
005,1,0,55,399.50839376449585,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
015,3,0,80,392.65576791763306,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,1,0,75,393.1868968009949,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,4,0,70,415.0910243988037,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,2,0,70,413.39436984062195,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,4,0,65,365.00670409202576,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
020,2,0,65,429.93853783607483,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
015,0,0,75,131.59446930885315,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
005,0,0,55,160.3760769367218,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}
010,1,0,75,185.6555151939392,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
005,4,0,50,213.5322277545929,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
015,3,0,80,238.83831977844238,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,3,0,70,262.79975748062134,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
015,1,0,75,295.1322658061981,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,2,0,60,289.8598983287811,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
020,3,0,65,295.2761597633362,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,1,0,75,304.47675013542175,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,3,0,75,339.3284115791321,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,0,0,75,370.75949454307556,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,2,0,65,394.1379997730255,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
005,2,0,55,451.1278419494629,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
010,4,0,70,457.29865550994873,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
020,4,0,65,447.8878028392792,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
015,4,0,60,466.5719418525696,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,1,0,55,488.43334698677063,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
020,0,0,70,465.89386105537415,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,2,0,75,509.7005009651184,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,0,0,75,213.61511826515198,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,4,0,50,228.5986626148224,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
010,0,0,60,242.10438585281372,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
010,3,0,75,279.9757959842682,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,1,0,75,294.22519731521606,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,4,0,60,319.339382648468,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,1,0,65,362.46446442604065,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
020,1,0,80,361.278023481369,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
005,2,0,60,379.1470146179199,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
015,3,0,80,384.2189974784851,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,3,0,70,351.18551993370056,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
010,4,0,70,402.0113732814789,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,0,0,55,414.3920555114746,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'distance'}
010,2,0,70,405.7290291786194,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,1,0,75,438.1126186847687,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
005,3,0,70,437.635445356369,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
015,2,0,65,457.81195974349976,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,2,0,70,454.33173513412476,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
020,4,0,80,453.68155097961426,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,0,0,65,481.9633758068085,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
005,3,0,70,149.98063850402832,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
015,1,0,75,150.0521547794342,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,4,0,65,161.8587293624878,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
020,0,0,70,155.19688200950623,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,0,0,65,202.62480282783508,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
010,4,0,70,247.61297297477722,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,1,0,55,275.6812574863434,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
010,1,0,65,299.2599422931671,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,4,0,50,324.1653735637665,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
015,2,0,60,345.1349425315857,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
005,2,0,55,408.3769609928131,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
015,4,0,70,363.64076137542725,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}
020,3,0,60,376.929616689682,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,3,0,75,419.66611981391907,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,0,0,75,432.95901894569397,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,0,0,60,447.8569526672363,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
010,2,0,70,440.61249589920044,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,3,0,80,464.21120738983154,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,2,0,70,450.3818447589874,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
020,1,0,75,458.57163882255554,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,0,0,70,213.44338631629944,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
010,4,0,70,231.83345341682434,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
005,4,0,50,247.50212812423706,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
005,0,0,55,309.7291510105133,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}
015,4,0,60,288.71331238746643,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,2,0,55,312.8960897922516,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
020,3,0,70,279.454621553421,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
010,2,0,70,312.0317771434784,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,1,0,65,319.09066128730774,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
005,1,0,65,346.5179531574249,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
010,3,0,75,345.9924476146698,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,0,0,70,313.1737093925476,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,2,0,65,336.4172132015228,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,1,0,75,342.52142810821533,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,3,0,80,343.27721095085144,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,3,0,70,386.3586645126343,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
020,2,0,65,357.5656986236572,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
020,1,0,65,357.23075437545776,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}
010,0,0,65,396.36109495162964,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,4,0,65,372.1813099384308,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
005,0,0,60,199.41497826576233,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
005,2,0,60,213.53612875938416,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}
015,3,0,80,193.62437295913696,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,3,0,70,242.5626299381256,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
010,0,0,75,259.64240884780884,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,1,0,65,277.2922930717468,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,2,0,70,265.5781841278076,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}
020,0,0,65,279.93168807029724,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
005,3,0,70,301.68438148498535,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
020,1,0,75,263.18577766418457,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,0,0,75,299.74789547920227,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,4,0,80,266.57491517066956,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,4,0,70,337.9203896522522,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
005,1,0,55,368.8772842884064,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
