010,0,0,65,0.24055242538452148,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,1.720799446105957,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,70,3.6745355129241943,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,2.946488380432129,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,50,0.6236476898193359,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,75,0.29245781898498535,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,80,0.24513792991638184,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,60,0.34975695610046387,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,4.120959997177124,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,70,1.6720867156982422,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,75,0.36337995529174805,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,50,2.8601512908935547,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,70,1.9582056999206543,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,55,4.145932912826538,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,50,1.4666597843170166,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,75,1.6543214321136475,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,80,0.6250326633453369,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,80,1.148254156112671,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,75,2.4573090076446533,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,80,0.5865218639373779,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,55,3.3322300910949707,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,75,6.302647590637207,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,80,1.0347132682800293,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,50,2.0958003997802734,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,55,9.84305715560913,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,45,13.931118965148926,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,65,13.35202169418335,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,50,6.078570604324341,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,70,4.56378698348999,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,55,9.35667872428894,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,45,6.55587911605835,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,70,1.2819890975952148,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,70,0.9095990657806396,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,70,4.3220884799957275,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,55,18.166011095046997,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,65,10.708806037902832,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,7.630250453948975,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,70,7.839071750640869,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,70,13.939955711364746,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,65,11.71591830253601,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,70,3.0265488624572754,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,70,7.313572883605957,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,65,6.878572702407837,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,75,9.750481605529785,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,45,4.879598379135132,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,10.301798820495605,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,70,9.117027282714844,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,55,6.590672969818115,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,85,4.813639163970947,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,70,2.7694661617279053,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,70,7.0253143310546875,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,70,9.294788599014282,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,70,1.2595694065093994,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,65,8.428471326828003,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,4.4674248695373535,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,70,15.904322147369385,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,75,6.664833068847656,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,65,9.56362271308899,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,65,7.809345722198486,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,50,6.3388166427612305,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,70,2.373481512069702,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,70,3.1372413635253906,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,70,0.8372783660888672,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,6.124024152755737,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,7.506533622741699,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,40,9.244778633117676,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,65,5.727847099304199,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,75,7.4660866260528564,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,50,0.9747788906097412,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
