005,0,0,50,0.5155763626098633,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,45,0.6912543773651123,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,50,1.4897313117980957,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,0,60,0.5146665573120117,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,50,2.1026206016540527,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,2,0,35,0.3166618347167969,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,45,3.012357473373413,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,50,1.0825819969177246,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,40,2.4700820446014404,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,50,0.26607441902160645,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,55,0.5974526405334473,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,50,2.7826013565063477,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,45,1.4262430667877197,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,50,4.010840654373169,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,60,3.2766551971435547,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,45,0.711010217666626,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,1.770902156829834,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,50,1.2077815532684326,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,55,1.109459638595581,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,55,1.1593384742736816,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,60,3.343635082244873,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,50,2.1065149307250977,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,45,8.23907995223999,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,4.241209506988525,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,50,4.7801594734191895,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,55,16.505566358566284,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,50,14.94672417640686,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,50,14.897732019424438,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,40,14.539417505264282,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,60,6.896549701690674,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,55,6.98793363571167,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,55,1.5794758796691895,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,50,3.5588274002075195,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,50,8.122449159622192,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,20.5741183757782,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,1,0,50,4.4130024909973145,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,2,0,50,17.53972578048706,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,2,0,50,6.5498998165130615,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,50,10.372950315475464,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,40,12.617188215255737,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,55,6.138868093490601,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,55,2.708045244216919,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,50,0.8402390480041504,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,60,6.499411344528198,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,45,5.7575836181640625,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,45,4.5545172691345215,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,35,5.616143465042114,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,50,10.123614072799683,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,40,5.107114791870117,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,60,6.757587194442749,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,1.8776466846466064,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,60,4.698688268661499,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,50,2.049361228942871,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,50,2.768037796020508,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,2,0,50,3.054441452026367,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,2.2375025749206543,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,55,5.334319353103638,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,60,2.7427947521209717,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,7.119390249252319,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,0,30,11.35625171661377,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,50,11.605170011520386,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,35,8.427952527999878,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,45,9.118688821792603,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,45,13.638379335403442,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,65,5.91992712020874,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,0,0,55,4.81952691078186,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
