005,4,0,50,225.07874512672424,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,2,0,65,196.84000492095947,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,4,0,60,216.75718092918396,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,3,0,65,231.9710876941681,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,3,0,70,301.08050322532654,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,1,0,70,218.81052827835083,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
005,2,0,70,329.92569184303284,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,2,0,70,288.27847933769226,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
010,3,0,70,334.67694997787476,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,0,0,60,364.0949308872223,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,1,0,55,363.40057921409607,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,0,0,60,424.9016489982605,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,4,0,70,357.73881244659424,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,1,0,50,417.4882619380951,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,1,0,65,388.76116919517517,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,2,0,70,414.2610173225403,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,0,0,65,400.2256681919098,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,4,0,70,416.38325905799866,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
015,0,0,65,442.9268071651459,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,3,0,65,462.262752532959,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,0,0,60,248.26815962791443,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,2,0,70,233.6200201511383,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,3,0,70,286.83333921432495,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,3,0,70,258.40223145484924,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,0,0,65,263.6920053958893,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,1,0,50,370.56026339530945,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,1,0,55,401.5623610019684,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,1,0,65,334.21538043022156,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,4,0,70,343.9408338069916,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,2,0,70,441.0617232322693,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,2,0,65,383.2993953227997,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,1,0,65,384.23129987716675,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,0,0,60,471.0112543106079,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,4,0,50,462.54682302474976,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,2,0,65,393.59696078300476,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,4,0,60,452.3377933502197,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,0,0,65,434.771436214447,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,3,0,65,481.20140504837036,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,3,0,60,476.622926235199,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'distance'}
020,4,0,65,470.63288712501526,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,0,0,60,280.05741691589355,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,3,0,70,282.0252294540405,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,1,0,65,268.40390038490295,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,2,0,70,295.26580262184143,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,1,0,50,341.1324348449707,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,0,0,65,313.8781940937042,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,2,0,65,307.15258383750916,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,0,0,60,374.70127415657043,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,3,0,65,307.94777369499207,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,4,0,50,393.27925515174866,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,1,0,65,322.4884684085846,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,0,0,65,352.03403067588806,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,2,0,70,439.6946153640747,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,3,0,70,415.9387466907501,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,4,0,60,403.56695675849915,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,4,0,70,393.245769739151,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,1,0,55,439.646192073822,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,3,0,65,396.5256974697113,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,2,0,65,386.21559500694275,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,4,0,65,410.76051783561707,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,1,0,65,256.838259935379,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,4,0,50,275.55959725379944,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,0,0,65,267.6660170555115,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,3,0,70,267.7380802631378,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,0,0,60,287.95347261428833,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,3,0,65,304.2523458003998,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,2,0,65,309.8365406990051,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,1,0,50,350.6168520450592,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,1,0,65,317.45938086509705,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,4,0,60,353.4508035182953,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,0,0,60,388.6910581588745,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,2,0,70,384.8320744037628,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,3,0,70,401.9430787563324,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,2,0,70,366.28348541259766,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
010,1,0,55,390.2321243286133,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,2,0,70,425.28151297569275,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,3,0,65,405.6887946128845,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
015,4,0,70,396.0546247959137,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
020,0,0,65,439.08253741264343,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
