005,1,0,50,1.2717103958129883,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,1.4393301010131836,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,55,0.5675919055938721,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,65,0.9912729263305664,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,85,2.3647639751434326,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,70,2.065732955932617,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,65,1.9829778671264648,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,2.3565797805786133,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,60,3.810333728790283,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,60,0.42592668533325195,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,65,0.9478855133056641,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,80,0.37497520446777344,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,7.021907806396484,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,65,3.4350523948669434,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,65,1.3706157207489014,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,1.4178919792175293,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,4.602068185806274,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,65,4.403783798217773,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,5.612673997879028,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,6.465346813201904,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,50,8.195367097854614,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,50,19.41188907623291,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,60,20.49215054512024,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,17.17269277572632,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,65,6.117644309997559,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,2.849226474761963,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,8.862812280654907,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,55,26.531471014022827,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,70,15.59291934967041,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,3.4450488090515137,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,65,18.08953332901001,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,65,8.819941997528076,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,65,13.374435186386108,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,70,29.528228759765625,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,27.472838878631592,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,80,24.932554244995117,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,85,34.848124504089355,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,65,23.348421573638916,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,12.33552861213684,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,65,29.85307002067566,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,50,8.245453596115112,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,7.5710673332214355,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,65,2.207570791244507,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,2.7963144779205322,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,70,13.773309230804443,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,14.114781856536865,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,55,20.67215895652771,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,60,14.319215297698975,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,60,21.722644567489624,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,60,15.772461891174316,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,85,18.2930850982666,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,14.26351261138916,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,80,11.252530813217163,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,12.123305320739746,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,65,19.321430444717407,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,65,31.75257110595703,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,18.174916744232178,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,65,28.67516016960144,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,65,23.412402868270874,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,65,24.957214832305908,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,60,17.53470492362976,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,60,15.402850866317749,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,50,19.954469919204712,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,25.72090172767639,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,50,25.29225516319275,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,26.07464599609375,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,65,18.32648777961731,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,70,18.050106525421143,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,85,17.633593559265137,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,21.952736854553223,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,22.78917908668518,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,80,23.020287036895752,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,25.383132934570312,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,65,21.89323353767395,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,65,24.36639714241028,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,65,26.187425136566162,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,65,11.55417537689209,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,30.76710796356201,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,28.01419425010681,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,65,27.631147861480713,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,50,13.227792739868164,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,19.099390268325806,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,50,17.085545539855957,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,60,11.44646692276001,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,60,10.214262962341309,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,55,21.95240330696106,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,65,8.24058747291565,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,9.394527912139893,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,3.1522140502929688,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,85,24.440725326538086,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,65,16.91468572616577,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,70,27.653110027313232,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,28.335709810256958,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,65,34.13648557662964,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,28.86772584915161,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,65,22.34580898284912,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,65,12.198580026626587,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,65,15.400487661361694,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,80,28.738675117492676,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,30.62571883201599,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,50,8.763526678085327,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,60,1.9039039611816406,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,7.380573987960815,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,55,6.825702428817749,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,21.344027280807495,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,60,13.452255725860596,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,60,8.338518857955933,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,65,13.283294439315796,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,70,2.2318291664123535,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,70,17.86064577102661,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,65,9.369460582733154,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,10.308021306991577,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,85,25.194207429885864,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,17.142958879470825,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,30.446698427200317,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,65,18.719672441482544,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,21.46690273284912,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,65,27.751538515090942,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,80,24.452494859695435,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,65,18.732879161834717,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,65,4.681289196014404,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,50,14.656100034713745,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,55,13.136693716049194,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,50,15.061018228530884,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,70,12.255060911178589,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,20.126427173614502,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,60,17.490941762924194,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,65,2.7074079513549805,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,25.771824836730957,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,85,17.497642517089844,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,25.017552852630615,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,12.532941579818726,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,16.368564128875732,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,65,24.317940711975098,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,24.458019256591797,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,65,13.397107362747192,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,11.538408994674683,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,65,25.685178756713867,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,80,30.284467935562134,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,65,24.59484577178955,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,50,4.789239883422852,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,4.142894506454468,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,50,2.319650888442993,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,60,6.454195261001587,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,85,1.7117805480957031,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,70,5.747289419174194,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,50,23.96815776824951,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,60,17.550507068634033,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,14.509165525436401,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,65,20.59224534034729,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,65,20.236016511917114,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,17.821794509887695,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,24.743666887283325,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,65,24.264164924621582,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,65,8.063305377960205,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,26.369975090026855,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
