005,3,0,60,2.940068483352661,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,70,3.3557987213134766,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,70,2.572502613067627,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,50,4.266050815582275,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,80,1.0661425590515137,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,80,0.8430790901184082,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,45,4.348092794418335,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,65,5.727370023727417,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,65,5.523682594299316,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,80,0.5052657127380371,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,65,5.118093490600586,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,75,3.6341371536254883,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,80,2.4957852363586426,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,75,3.1391215324401855,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,6.386045932769775,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,50,6.750624656677246,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,70,3.3527488708496094,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,70,4.094856023788452,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,70,2.217172145843506,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,80,3.2118217945098877,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,1.6201138496398926,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,50,8.8732008934021,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,15.697272777557373,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,60,8.481986284255981,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,70,8.95610785484314,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,45,10.88383150100708,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,65,4.378526210784912,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,65,12.440456628799438,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,70,3.8288381099700928,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,8.639775276184082,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,80,4.9951252937316895,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,65,18.17552375793457,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,65,7.26021671295166,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,80,9.868860244750977,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,75,17.631235122680664,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,80,11.78548526763916,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,80,2.099942207336426,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,70,24.61668562889099,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
