005,2,0,45,0.4761316776275635,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,55,0.81168532371521,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,55,2.7236599922180176,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,60,2.7903048992156982,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,70,0.6829071044921875,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,55,0.9973056316375732,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,75,0.27689528465270996,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,50,3.395812749862671,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,70,1.4197914600372314,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,0,0,45,1.4786584377288818,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,65,1.1773254871368408,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,70,0.2141890525817871,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,60,1.276841402053833,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,75,0.98441481590271,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,60,4.21003270149231,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,2,0,50,0.8804609775543213,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,55,0.7877507209777832,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,60,0.2141859531402588,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,70,1.0068576335906982,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,60,2.0763986110687256,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,8.393721580505371,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,65,10.4832181930542,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,60,11.643608808517456,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,60,12.051421880722046,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,60,3.528578519821167,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,50,9.466329336166382,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,55,10.720392942428589,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,45,7.8025500774383545,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,70,2.584723711013794,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,60,8.101076364517212,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,50,1.2495121955871582,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,55,9.447540044784546,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,70,5.796647310256958,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,60,2.916081428527832,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,70,4.039026260375977,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,65,1.300896167755127,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,40,5.382359981536865,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,1,0,35,15.268594026565552,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,60,21.382389307022095,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,7.516823768615723,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,60,10.751895666122437,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,17.247196912765503,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,75,2.1613311767578125,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,60,18.754186153411865,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,60,3.6608808040618896,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,60,11.558912754058838,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,70,12.548754930496216,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,65,1.3782079219818115,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,65,4.313818693161011,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,60,12.236767292022705,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,65,13.049402952194214,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,18.85200309753418,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,80,13.079240560531616,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,70,8.384178638458252,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,55,10.160605907440186,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,7.54729151725769,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,7.272781133651733,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,50,7.956496000289917,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,5.213554620742798,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,65,11.314512729644775,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,1.5424277782440186,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,75,0.5797045230865479,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,6.840708494186401,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,70,2.420900821685791,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,6.921698331832886,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,50,12.011089324951172,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,60,4.58703351020813,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,80,8.741194725036621,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,65,13.762706756591797,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,50,12.933252573013306,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
