005,0,0,50,0.8217658996582031,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,65,0.9085838794708252,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,65,0.5723412036895752,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,65,0.2423725128173828,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,75,0.5453848838806152,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,50,2.5015947818756104,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,65,0.2150881290435791,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,70,2.673222780227661,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,65,0.9428179264068604,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,2.2529590129852295,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,3.629866361618042,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,50,1.5983860492706299,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,65,0.6290736198425293,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,0,75,0.6824638843536377,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,0,70,0.8367431163787842,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,70,0.8992159366607666,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,75,0.2946615219116211,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,65,0.7930774688720703,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,70,0.543147087097168,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,80,0.967024564743042,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,60,0.48660922050476074,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,55,5.74452018737793,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,85,2.29457688331604,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,75,2.130038261413574,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,2.5906097888946533,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,70,0.5397529602050781,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,4.200339078903198,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,55,10.694311380386353,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,60,1.5902671813964844,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,65,8.702738285064697,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,60,7.885840892791748,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,55,9.73835039138794,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,13.278674840927124,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,70,12.086184978485107,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,45,16.45846962928772,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,70,6.935693264007568,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,65,7.249026298522949,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,65,8.363723039627075,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,60,9.737767696380615,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,75,13.371087551116943,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,70,0.9671649932861328,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,60,1.1848161220550537,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,2.0550477504730225,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
