010,2,0,60,249.98781394958496,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
005,1,0,55,286.72795486450195,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
010,1,0,70,275.5696966648102,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
020,2,0,60,215.21663689613342,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
015,2,0,70,248.91853666305542,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}
015,0,0,75,278.85551023483276,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
005,4,0,60,317.5263271331787,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
020,1,0,65,249.49870133399963,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}
010,0,0,50,314.82685136795044,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
020,3,0,75,249.18160247802734,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,2,0,55,339.37260127067566,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}
020,4,0,60,242.6648087501526,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'uniform'}
015,3,0,65,284.7769248485565,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}
010,4,0,70,327.83967876434326,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
020,0,0,65,254.31054162979126,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
005,3,0,60,365.9088056087494,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
005,0,0,55,374.9514856338501,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}
015,4,0,65,315.75006318092346,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
010,3,0,70,337.13497018814087,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}
015,1,0,60,332.0563404560089,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}
005,3,0,55,281.556125164032,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}
010,0,0,50,279.41938400268555,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}
010,4,0,70,297.00631403923035,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
005,0,0,55,331.3496878147125,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}
005,2,0,80,351.2037672996521,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
005,1,0,70,357.990779876709,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
010,1,0,65,338.3135657310486,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
005,4,0,60,362.38794016838074,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
010,2,0,55,356.3540267944336,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'uniform'}
015,1,0,70,308.5414264202118,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
015,0,0,60,320.5500068664551,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
010,3,0,70,350.7784836292267,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
015,3,0,80,309.9739978313446,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
015,2,0,50,325.30554604530334,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}
015,4,0,65,308.1495304107666,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
020,1,0,70,283.3627758026123,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}
020,4,0,70,265.61390805244446,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}
020,0,0,65,299.93686032295227,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,3,0,65,281.45131731033325,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,2,0,65,290.81425070762634,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
