005,4,0,55,0.21776747703552246,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,45,1.802612543106079,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,60,0.18858551979064941,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,0.24240708351135254,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,3.4719417095184326,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,75,0.4300110340118408,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,70,0.5418601036071777,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,75,2.642659902572632,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,60,0.3754236698150635,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,1.5984456539154053,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,60,0.662100076675415,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,70,1.7245910167694092,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,50,1.819859504699707,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,65,1.7617886066436768,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,65,2.6679255962371826,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,65,7.642437696456909,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,60,4.401496410369873,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,70,2.4880759716033936,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,60,1.5792689323425293,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,65,1.6697490215301514,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,6.449801445007324,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,45,0.2879185676574707,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,45,5.247394561767578,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,70,5.742113828659058,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,65,0.3612551689147949,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,55,5.9076128005981445,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,60,6.070861339569092,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,40,11.201300382614136,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,70,7.893712759017944,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,60,6.615196466445923,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,0.8105912208557129,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,0,55,7.971535682678223,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,0,0,70,6.829451084136963,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,70,10.671187400817871,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,75,4.492626428604126,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,55,8.060725927352905,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,65,3.3247575759887695,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,3.695296287536621,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,8.795012712478638,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,60,14.519422054290771,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,3.631730079650879,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,75,0.3612020015716553,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,70,1.8345425128936768,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,60,0.3618490695953369,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,60,0.9150989055633545,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,50,2.9788217544555664,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,70,2.9540257453918457,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,60,5.047662019729614,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,75,8.41353964805603,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,65,3.521603584289551,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,40,7.862360715866089,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,75,1.6214776039123535,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,65,7.802130222320557,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,4.447536945343018,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,6.484198570251465,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,5.808623790740967,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,60,13.769180536270142,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,65,4.395333528518677,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,1.3349840641021729,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,60,4.725362300872803,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,70,6.107256174087524,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,50,3.827969551086426,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,45,1.8628857135772705,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,70,6.057686805725098,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,65,1.5723600387573242,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,65,3.6018128395080566,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,55,3.6478524208068848,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,55,10.894649982452393,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,55,11.9600088596344,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,65,10.057254791259766,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,60,0.6317923069000244,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,45,20.303898096084595,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,6.634488105773926,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,55,4.387426137924194,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,70,1.2300834655761719,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,60,17.859227895736694,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,5.402874946594238,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,80,15.092971324920654,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,6.608408689498901,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,60,7.008543968200684,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,4.15169882774353,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
