005,0,0,50,0.24774384498596191,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,50,0.5349078178405762,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,70,0.2805473804473877,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,75,0.20560956001281738,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,0.3192269802093506,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,40,0.1975691318511963,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,80,0.32901906967163086,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,85,0.19243192672729492,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,45,0.23669886589050293,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,50,0.2689809799194336,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,55,0.24358224868774414,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,0.32424402236938477,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,75,0.2609262466430664,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,65,0.957334041595459,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,0.4777193069458008,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,70,0.5876126289367676,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,70,0.25180840492248535,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,50,1.4969522953033447,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,45,0.7226965427398682,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,45,2.185441493988037,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,70,0.4276237487792969,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,55,3.4919004440307617,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,75,1.2291538715362549,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,65,2.23750638961792,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,0.4361438751220703,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,70,0.46336889266967773,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,50,7.589138031005859,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,55,0.24870061874389648,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,80,5.099313259124756,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,85,3.7786686420440674,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,65,4.574872255325317,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,45,11.217051982879639,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,60,4.76042366027832,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,80,10.435845136642456,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,65,17.794756174087524,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,70,14.853107452392578,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,75,4.516514301300049,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,70,2.3235526084899902,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,75,7.559648752212524,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,17.263434171676636,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,0.9895362854003906,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,60,4.309482097625732,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,75,1.7317137718200684,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,75,1.8399240970611572,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,60,0.7768070697784424,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,55,2.1005139350891113,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,45,9.21065378189087,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,9.75073504447937,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,13.302871465682983,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,70,1.024393081665039,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,80,10.691544532775879,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,65,4.427746057510376,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,55,5.2731897830963135,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,70,4.9632062911987305,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,60,5.085881471633911,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,7.32291316986084,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,45,1.1681029796600342,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,70,0.2861368656158447,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,65,9.817845582962036,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,80,9.89661693572998,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,2.1131539344787598,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,55,5.559582948684692,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,60,6.303749084472656,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,2,0,50,4.848454475402832,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,70,5.969442844390869,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
