005,1,0,75,0.23319196701049805,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,65,0.48014116287231445,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,65,0.26427221298217773,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,70,0.5136504173278809,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,45,0.5508487224578857,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,50,3.264328956604004,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,65,1.0205135345458984,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,55,0.35644102096557617,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,70,0.8114566802978516,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,55,2.5760080814361572,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,0.5418426990509033,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,80,0.4068770408630371,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,75,0.5087740421295166,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,70,0.5730946063995361,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,60,2.2070958614349365,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,50,2.1616370677948,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,1.0555462837219238,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,75,0.5897514820098877,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,75,1.0856812000274658,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,0.5314247608184814,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,50,7.961455821990967,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,2.8118903636932373,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,12.075081825256348,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,15.250388145446777,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,70,16.656118154525757,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,60,0.32360291481018066,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,75,8.897999048233032,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,55,10.99517273902893,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,50,2.7901322841644287,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,80,6.282487869262695,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,8.244280576705933,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,75,0.4044785499572754,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,4.591204404830933,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,70,5.684314489364624,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,50,6.327051877975464,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,80,5.859827995300293,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,75,9.774651765823364,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,23.43164873123169,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,60,15.054768800735474,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,14.522967100143433,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,50,1.766423225402832,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,70,4.308578252792358,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,70,4.613865613937378,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,60,10.89208197593689,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,60,0.7783083915710449,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,80,1.2876057624816895,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,60,6.09716796875,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,13.962124109268188,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,55,9.05311632156372,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,65,15.774117469787598,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
