005,4,0,55,0.4413144588470459,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,50,0.466400146484375,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,60,0.4509248733520508,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,60,0.3538365364074707,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,55,1.5822365283966064,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,0.8579835891723633,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,50,0.33009958267211914,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,55,0.23638343811035156,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,55,1.3929839134216309,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,1.3053858280181885,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,2.8147361278533936,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,50,2.8534655570983887,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,3.4314217567443848,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,55,0.9260737895965576,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,50,2.8771932125091553,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,55,0.31932759284973145,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,50,4.7851643562316895,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,65,0.9871127605438232,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,40,2.154369354248047,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,2.5360143184661865,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,2.358762502670288,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,50,1.9337308406829834,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,45,1.9343206882476807,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,19.525331258773804,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,15.334956169128418,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,14.915339231491089,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,14.506091117858887,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,50,11.127094030380249,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,60,5.436949729919434,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,60,15.866235971450806,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,55,14.704988241195679,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,5.402853727340698,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,55,3.2827374935150146,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,50,8.553755521774292,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,16.539982795715332,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,50,13.11889100074768,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,50,12.317668676376343,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,40,4.79013991355896,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,40,8.778829336166382,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,13.95267653465271,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,50,2.3773386478424072,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,55,4.848212718963623,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,8.917885065078735,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,8.98025131225586,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,55,9.398720026016235,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,14.998193740844727,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,18.403578281402588,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,40,16.19913625717163,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,5.684009552001953,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,60,15.100311994552612,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,60,5.4167749881744385,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,55,17.60548758506775,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,50,17.568186283111572,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,50,19.556475400924683,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,70,18.912888050079346,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,13.260029077529907,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,12.621472835540771,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,65,17.081758499145508,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,65,15.711974382400513,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,15.828274488449097,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,13.812191486358643,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,50,14.316326379776001,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,1.1765732765197754,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,50,1.1226072311401367,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,75,4.660053014755249,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,45,9.517668962478638,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,50,3.181537389755249,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,50,0.5431866645812988,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,55,2.2256345748901367,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
