005,3,0,55,0.2944200038909912,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,60,0.3548285961151123,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,65,1.196730613708496,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,60,0.4225316047668457,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,0.281141996383667,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,65,0.3790581226348877,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,50,1.5755510330200195,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,0.4457521438598633,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,65,3.173064708709717,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,0.8857715129852295,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,50,3.6159656047821045,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,65,2.6579084396362305,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,50,0.9173331260681152,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,2.3198421001434326,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,0.6283748149871826,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,50,3.501387596130371,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,75,2.3057572841644287,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,65,5.6987364292144775,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,3.6396234035491943,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,50,5.786083459854126,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
