005,3,0,60,0.31500792503356934,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,75,1.7853310108184814,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,60,2.4083054065704346,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,55,0.5337622165679932,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,55,2.9921860694885254,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,55,1.676896333694458,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,3.8945376873016357,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,55,0.353222131729126,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,75,2.0121920108795166,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,60,0.30861926078796387,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,70,3.398200273513794,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,65,3.135472059249878,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,60,2.3850996494293213,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,65,5.622465372085571,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,60,0.31748533248901367,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,65,1.5724868774414062,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,65,3.8433001041412354,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,80,1.1973545551300049,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,60,1.2269768714904785,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,4,0,75,2.956808567047119,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,60,3.9436120986938477,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,70,7.428845643997192,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,60,11.905304431915283,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,65,3.991544485092163,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,55,1.1513915061950684,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,75,1.7880170345306396,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,55,17.182676315307617,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,55,9.804696798324585,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,65,2.3673157691955566,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,60,7.596819639205933,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,55,4.093498706817627,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,70,4.335086345672607,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,4,0,65,18.337942838668823,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,4,0,70,19.10300087928772,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,70,4.2507195472717285,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,0,60,16.055933237075806,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,55,15.237525701522827,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,50,17.62066102027893,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,70,16.018666744232178,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,65,18.963529586791992,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,60,9.743419170379639,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,5.543405771255493,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,55,11.445144653320312,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,55,13.688786029815674,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,60,7.367199420928955,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,60,6.945296287536621,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,65,8.421432256698608,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,55,0.7080023288726807,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,65,13.61258316040039,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,65,20.08355188369751,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,55,16.222970962524414,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,75,8.608899354934692,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,70,2.119746685028076,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,60,3.107323169708252,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,0,80,15.329307317733765,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,60,10.662004232406616,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,65,9.71828579902649,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,60,14.653305053710938,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,60,16.47295880317688,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,65,5.004759788513184,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,50,0.6940734386444092,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,60,12.091729402542114,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,60,0.6560816764831543,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,60,6.64093279838562,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,70,5.304021835327148,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,45,11.49187421798706,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,55,12.8661630153656,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
010,1,0,60,10.27040433883667,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,65,6.117461681365967,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,55,3.0209336280822754,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,55,7.566161394119263,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,65,4.02289342880249,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
015,4,0,75,7.993189334869385,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,65,17.876381635665894,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,60,9.034228086471558,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,75,2.8261239528656006,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,65,14.064884424209595,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,70,6.157067775726318,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,60,13.958751201629639,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,65,17.0164532661438,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,50,9.263097763061523,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,55,0.48371315002441406,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,60,13.037551641464233,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,50,14.124573230743408,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,55,6.098849534988403,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,65,5.381704807281494,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,60,16.441595315933228,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,2.283196449279785,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,75,6.961727619171143,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,45,24.580997943878174,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,65,6.768907785415649,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,60,1.0932095050811768,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,70,0.5074667930603027,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,3,0,65,2.844829559326172,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,60,7.109235763549805,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,65,15.242504835128784,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,6.059571981430054,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,60,3.4790194034576416,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,70,21.253480911254883,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,65,22.832844257354736,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,55,5.414292097091675,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,55,5.2985310554504395,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,60,14.642956972122192,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,65,3.55462384223938,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,50,11.849807739257812,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,45,11.473107814788818,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,8.947956323623657,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,60,9.819531440734863,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,55,7.05605936050415,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,60,0.3380703926086426,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,65,18.064075708389282,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,70,12.244946002960205,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,65,9.348342895507812,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,75,11.415704011917114,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,50,2.135377883911133,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,60,5.313964605331421,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,7.688977241516113,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,22.863434076309204,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,60,10.905386209487915,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,65,5.953723669052124,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,60,8.018843173980713,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,55,6.264709711074829,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,21.142350673675537,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,60,13.773877143859863,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,60,21.41432523727417,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,0,65,8.632458925247192,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,1,0,60,7.784858465194702,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,65,9.546863555908203,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,65,15.644893646240234,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,23.057939291000366,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,70,2.5320165157318115,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,65,14.272889375686646,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,60,15.174784660339355,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,65,9.038658857345581,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,75,9.398324489593506,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,60,3.691615581512451,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,75,18.216392278671265,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,65,2.2352874279022217,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,75,23.661137342453003,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,50,0.8196845054626465,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,60,4.1506593227386475,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,60,5.209941864013672,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
