005,0,0,50,0.5172209739685059,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,1.037766456604004,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,65,0.42983293533325195,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,55,1.6011629104614258,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,45,1.4363951683044434,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,2.36653208732605,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,50,0.649238109588623,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,40,1.1323344707489014,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,60,0.29131412506103516,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,2.2762227058410645,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,4.8339152336120605,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,50,0.34839391708374023,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,50,0.988685131072998,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,60,1.608290672302246,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,55,1.132014513015747,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,45,2.3908400535583496,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,40,0.998121976852417,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,40,1.0289642810821533,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,50,2.412592887878418,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,50,0.8587126731872559,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,4.62151837348938,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,9.224076986312866,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,9.075512647628784,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,55,16.45875120162964,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,55,15.806689977645874,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,1.5782229900360107,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,50,1.6999504566192627,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,60,3.4005496501922607,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,55,13.235512495040894,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,12.44530439376831,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,65,13.640185594558716,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,1.7089343070983887,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,55,2.567516326904297,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,60,16.99558138847351,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,50,8.458924293518066,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,75,9.099802255630493,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,50,7.665935754776001,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,65,3.795065402984619,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,7.850774765014648,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,55,15.044116735458374,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,0.7816176414489746,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,12.177956581115723,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,10.249206066131592,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,60,12.007070302963257,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,50,13.42026138305664,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
