010,0,0,50,0.3404221534729004,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,65,2.56026554107666,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,50,0.6827700138092041,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,0.7018482685089111,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,55,1.7137188911437988,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,60,0.7891929149627686,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,2.7439370155334473,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,55,1.270672082901001,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,55,0.25882911682128906,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,60,2.941314935684204,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,55,2.2312123775482178,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,75,5.962981224060059,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
010,2,0,60,4.24504280090332,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,1.0852136611938477,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,65,0.5208432674407959,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,50,3.9497883319854736,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,1.1091609001159668,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,50,1.2308156490325928,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,55,3.0616443157196045,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,50,2.483041524887085,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,55,2.0612905025482178,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,55,2.485246419906616,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,55,3.7284696102142334,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,4.451308488845825,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,75,1.4412307739257812,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,65,4.784581899642944,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
