005,0,0,50,0.8609402179718018,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,55,1.4059393405914307,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,1.479273796081543,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,60,3.945692300796509,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,1.4160714149475098,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,55,4.823719501495361,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,55,0.6111054420471191,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,55,0.2329869270324707,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,50,0.4238100051879883,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,40,1.5984976291656494,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,40,0.7864055633544922,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,45,3.276165723800659,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,0.8594658374786377,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,50,0.7787199020385742,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,45,3.130824089050293,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,55,1.5812811851501465,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,55,1.5864641666412354,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,40,1.4437108039855957,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,50,1.9035680294036865,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,55,1.4863312244415283,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,55,2.96185302734375,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,50,5.127644300460815,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,40,7.9160990715026855,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,6.933406114578247,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,45,8.61849069595337,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,45,7.240830898284912,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,55,10.750832796096802,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,55,6.555669069290161,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,40,6.932615756988525,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,50,12.921491861343384,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,0,40,2.1102187633514404,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,50,4.8183348178863525,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,45,10.340149402618408,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,50,16.453464031219482,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,50,9.98339033126831,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,40,14.436273336410522,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,50,10.60710334777832,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,50,3.6751530170440674,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,50,5.691774845123291,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,5.318894863128662,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,50,1.3745999336242676,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,55,4.188773155212402,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,60,2.8736140727996826,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,45,12.644100189208984,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,45,3.8526198863983154,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,14.491602182388306,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,55,5.240036964416504,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,45,8.279509544372559,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,50,10.998654842376709,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,50,6.691369533538818,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,50,6.057618856430054,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,0,55,13.945228815078735,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,35,4.009548664093018,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,60,11.925557136535645,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,50,7.714314699172974,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,55,1.8554675579071045,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,40,3.9525957107543945,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,50,0.45732712745666504,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,50,1.2187817096710205,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,2.3613927364349365,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,45,1.3770527839660645,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,55,3.9013445377349854,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,50,9.374878168106079,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,50,10.807869672775269,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,55,4.885644435882568,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,55,11.235398769378662,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,55,7.680252552032471,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,13.690965175628662,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,50,5.759633541107178,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,0,45,8.660449981689453,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,50,3.2262444496154785,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,55,11.087231159210205,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,45,4.945810079574585,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,40,1.93229341506958,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,50,6.198818683624268,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,50,10.466356754302979,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,55,1.6810004711151123,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,40,4.479921340942383,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,40,1.4005436897277832,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,50,0.7520177364349365,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,50,4.165571928024292,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,10.007474422454834,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,55,10.243809700012207,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,55,3.3143606185913086,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,40,7.253702402114868,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,50,11.24420714378357,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,60,6.63475227355957,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,60,8.830922603607178,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,0,50,5.369729518890381,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,4,0,60,3.1568305492401123,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,50,5.56074857711792,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,55,11.156387329101562,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,50,2.8224575519561768,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,4.82663631439209,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,9.715277433395386,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,50,9.179470539093018,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,50,2.664398193359375,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,1.1167280673980713,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,19.93074679374695,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,60,9.34859824180603,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,55,0.5301527976989746,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,60,3.7015368938446045,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,50,2.3254778385162354,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,60,4.931116819381714,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,50,2.103973388671875,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,50,4.1850409507751465,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,1.1035380363464355,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,45,4.007823944091797,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,7.545413494110107,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,50,7.6541783809661865,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,0,60,8.470116138458252,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,45,3.716291666030884,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,45,10.89810037612915,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,50,7.568073034286499,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,45,5.081413745880127,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,45,7.928373336791992,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,45,6.6154069900512695,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,50,4.368485927581787,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,45,6.650979995727539,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,55,5.540870428085327,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,0.4289231300354004,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,40,7.524051666259766,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,60,4.236861944198608,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,50,7.28389573097229,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,0,50,1.6258833408355713,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,45,15.080917119979858,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,50,14.190473794937134,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,6.336660861968994,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,50,1.0134429931640625,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,55,8.102866649627686,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,55,4.3301966190338135,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,55,13.200782299041748,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,0,50,18.302943468093872,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,50,3.9451651573181152,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,55,2.1135382652282715,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,0,55,1.8220927715301514,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,45,2.311922311782837,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,9.349101066589355,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,4,0,55,2.3689799308776855,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,40,1.2269198894500732,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,55,1.7165954113006592,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,55,0.26395678520202637,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,50,8.762494802474976,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,40,9.26923155784607,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,3.604776382446289,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,55,4.234441041946411,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,0,55,6.557109117507935,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,50,2.5459144115448,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,9.78333592414856,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,50,7.762353420257568,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,55,5.3223960399627686,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,55,0.8322765827178955,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,45,2.40736722946167,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,55,3.459064483642578,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,50,3.313326358795166,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,55,14.985001802444458,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,45,2.2128474712371826,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,50,1.723367691040039,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,65,1.7450535297393799,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,60,1.62343430519104,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,40,1.07912015914917,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,50,2.5632944107055664,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,50,1.9431531429290771,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,50,2.4463889598846436,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,1.0692503452301025,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,50,5.449752569198608,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,45,7.204362392425537,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,55,21.061883211135864,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,45,9.854209899902344,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,50,8.434081792831421,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,45,7.4885571002960205,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,50,16.99578595161438,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,19.91181969642639,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,50,11.612793207168579,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,60,2.341669797897339,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,50,13.946960926055908,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,50,12.617859601974487,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,55,3.0111963748931885,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,50,3.0988688468933105,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,45,2.744703531265259,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,45,0.6673610210418701,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,50,1.692335605621338,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,50,2.182549476623535,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,45,9.66705584526062,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,45,9.929835557937622,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,45,7.8386335372924805,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,50,7.668383836746216,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,50,4.590026140213013,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,45,2.697721481323242,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,50,6.315857887268066,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,40,5.4674437046051025,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,55,6.466585159301758,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
