005,2,0,50,1.3232834339141846,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,50,0.445098876953125,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,60,0.6921255588531494,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,50,2.565519332885742,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,50,1.7061195373535156,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,60,1.773925542831421,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,60,1.821854591369629,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,60,2.0415446758270264,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,65,1.9001858234405518,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,50,4.454098701477051,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,60,3.0014445781707764,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,60,0.7620019912719727,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,70,5.581244707107544,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,55,8.396114349365234,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,5.877472400665283,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,70,4.993223428726196,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,60,1.43269681930542,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,65,3.524557113647461,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,50,5.114647388458252,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,60,2.5309557914733887,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,50,0.6738746166229248,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,50,12.228428840637207,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,50,14.015467405319214,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,70,5.5698082447052,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,55,7.779190301895142,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,12.906453609466553,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,65,11.187497854232788,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,60,12.159798383712769,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,50,13.159796476364136,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,16.935012102127075,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,70,5.05946683883667,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,50,26.403834581375122,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,60,18.708433151245117,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,60,6.901030778884888,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,7.438476085662842,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,65,7.336576461791992,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,60,15.728662490844727,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,60,16.975048303604126,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,60,22.26417112350464,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,60,4.3683600425720215,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,50,3.997880458831787,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,50,1.30442214012146,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,17.000638723373413,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,12.057620763778687,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,60,10.657715559005737,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,70,5.919186115264893,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,65,14.611698865890503,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,18.45840811729431,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,4.790804147720337,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,50,16.448864698410034,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,55,21.292874336242676,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,70,6.044427871704102,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,65,17.306382417678833,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,50,22.30706763267517,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,60,2.594674825668335,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,60,22.927173137664795,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,23.829254865646362,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,60,20.435877799987793,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,60,16.85330104827881,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,60,9.428905248641968,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,8.10141634941101,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,50,5.012175798416138,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,22.470605850219727,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,70,14.26939344406128,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,60,6.339486837387085,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,65,8.773732423782349,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,50,24.497750759124756,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,55,19.747190237045288,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,50,18.60662817955017,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,65,13.12905478477478,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,25.1066575050354,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,70,6.849437713623047,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,50,10.338083267211914,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,26.952694416046143,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,60,22.72693681716919,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,60,8.590043306350708,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,60,11.67684292793274,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,60,1.0275776386260986,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,20.40053677558899,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,60,14.708971738815308,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,50,12.093310832977295,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,15.97651743888855,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,13.270540237426758,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,60,10.662889957427979,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,65,10.56183409690857,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,50,23.596753120422363,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,50,4.8607447147369385,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,60,16.98397922515869,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,70,4.338245630264282,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,50,22.980626583099365,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,65,22.16045641899109,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,60,10.954049348831177,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,65,7.874943256378174,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,55,16.865209341049194,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,60,8.906442165374756,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,70,3.528554916381836,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,60,6.0500288009643555,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,60,6.784034967422485,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,60,12.778441190719604,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,17.822076559066772,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,50,3.6612250804901123,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,50,2.942606210708618,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,50,4.451430320739746,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,50,11.264469146728516,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,50,9.390777587890625,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,70,12.003811836242676,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,1.9564151763916016,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,65,18.55371642112732,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,6.204768180847168,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
