005,0,0,50,1.5531644821166992,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,45,0.4182713031768799,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,50,0.8776712417602539,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,1.1551904678344727,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,45,1.7211730480194092,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,55,1.838927984237671,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,40,4.700276851654053,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,0.21625924110412598,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,50,0.20338177680969238,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,55,1.9585273265838623,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,55,3.8245370388031006,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,65,0.21697449684143066,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,50,0.4403724670410156,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,50,2.738598585128784,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,65,1.1576738357543945,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,45,2.740541934967041,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,65,1.244889497756958,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,45,0.3271939754486084,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,45,3.1230342388153076,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,65,0.7044656276702881,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,45,15.090944051742554,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,45,5.914738416671753,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,13.287862539291382,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,45,10.26531457901001,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,13.177517175674438,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,45,10.975714683532715,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,45,10.967180013656616,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,7.824469566345215,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,50,0.3697347640991211,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,55,9.896784782409668,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,50,9.52973747253418,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,60,0.5531013011932373,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,50,1.8540551662445068,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,55,1.7467896938323975,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,50,5.020529508590698,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,55,15.704500436782837,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,45,7.162496089935303,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,50,6.66084885597229,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,4.7345874309539795,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,50,12.452330827713013,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,2.3988771438598633,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,8.48538613319397,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,50,3.2283363342285156,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,45,10.035631895065308,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,5.083740949630737,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,55,6.5058863162994385,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,55,0.6084625720977783,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,50,5.620280742645264,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,5.1629767417907715,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,55,5.059075117111206,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,50,9.452717065811157,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,65,6.602131366729736,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,60,2.309129238128662,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,55,15.304903507232666,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
