005,0,0,50,0.20012640953063965,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,1,0,50,0.19674253463745117,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,2,0,50,0.20544004440307617,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,3,0,50,0.20344185829162598,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,4,0,60,0.19504499435424805,{'C': 545.5594781168514, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,0,0,50,0.20126867294311523,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,1,0,50,0.21192073822021484,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,2,0,65,0.19753146171569824,{'C': 10000.0, 'max_iter': 10000, 'penalty': 'l1', 'solver': 'liblinear'}
010,3,0,50,0.2122650146484375,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,4,0,50,0.20432662963867188,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,0,0,60,0.1968247890472412,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,1,0,50,0.20422148704528809,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,2,0,55,0.194810152053833,{'C': 0.0006951927961775605, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,3,0,60,0.19220232963562012,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,4,0,60,0.20634794235229492,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,0,0,65,0.20659112930297852,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,1,0,60,0.20269203186035156,{'C': 0.004832930238571752, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,2,0,70,0.3005683422088623,{'C': 11.288378916846883, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,3,0,60,0.20213651657104492,{'C': 0.012742749857031334, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,4,0,50,0.19793128967285156,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,0,0,50,0.21144700050354004,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,1,0,50,0.22885417938232422,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
