005,0,0,60,1.3387689590454102,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,55,1.6417396068572998,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,1.239347219467163,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,50,3.146233081817627,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,60,0.5287930965423584,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,60,3.681347131729126,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,55,0.37441253662109375,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,3.1631367206573486,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,3.236703395843506,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,50,0.4610579013824463,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,50,1.28163480758667,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,60,2.015577554702759,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,0.8978979587554932,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,70,2.6951968669891357,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,65,0.7263634204864502,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,50,0.45498085021972656,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,45,0.2523648738861084,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,70,0.3976173400878906,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,50,0.4423084259033203,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,55,2.135162591934204,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,65,3.0548806190490723,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,45,0.4386618137359619,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,3.1224560737609863,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,50,2.3645780086517334,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,50,1.4818036556243896,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,55,0.2752070426940918,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,55,8.766265869140625,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,55,7.648534536361694,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,50,5.750303268432617,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,6.757774591445923,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,60,10.459694147109985,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,50,6.471590042114258,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,60,4.9374284744262695,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,60,10.080286741256714,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,50,0.22669196128845215,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,50,7.09553861618042,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,55,3.2316460609436035,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,65,8.02265453338623,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,55,8.234452724456787,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,70,0.4307291507720947,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,0.2796597480773926,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,45,3.0530548095703125,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,50,2.616842746734619,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,2.1802637577056885,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,55,5.695646047592163,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,55,2.69474458694458,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
010,1,0,65,12.63889193534851,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,60,8.087610244750977,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,5.186105489730835,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,55,7.123946189880371,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,50,12.799697637557983,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,50,4.0938403606414795,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,55,0.9999165534973145,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,50,3.0713438987731934,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,70,3.6858890056610107,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,4.932316541671753,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,50,4.420560598373413,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,2.4195828437805176,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,70,1.250774621963501,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,50,0.28849077224731445,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,50,1.2118537425994873,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,0.6586589813232422,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,55,2.562668800354004,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,3.728564739227295,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,60,2.8846094608306885,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,45,11.591936826705933,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,65,1.9988985061645508,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,45,5.77445650100708,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,45,4.218101263046265,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,50,3.7053253650665283,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,50,11.26587963104248,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,55,6.952861547470093,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,60,3.9838902950286865,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,65,1.6173570156097412,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,45,7.625341892242432,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,65,2.9087939262390137,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,1.5023274421691895,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,55,2.3537096977233887,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,50,1.3924615383148193,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,65,2.3175151348114014,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,55,3.352949380874634,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,55,4.92414116859436,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,3.6073803901672363,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,4.538750171661377,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,55,7.012931823730469,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,50,9.027032852172852,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,3.7137279510498047,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,55,0.31767964363098145,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,55,2.586275339126587,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,55,13.369078636169434,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,0.8433089256286621,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,55,2.248291254043579,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,55,10.7812819480896,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,55,0.4682331085205078,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,1.340209722518921,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,60,5.605224847793579,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,50,2.3874151706695557,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,50,0.5164120197296143,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,55,8.521722078323364,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,50,1.147970199584961,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,0.2759525775909424,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,7.163481950759888,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,45,10.59604001045227,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,55,9.734355449676514,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,55,11.182950258255005,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,70,5.725912570953369,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,50,0.5707168579101562,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,55,2.69960618019104,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,45,2.8390703201293945,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,3.2924652099609375,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,65,1.607372760772705,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,0.19936895370483398,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,55,0.5190119743347168,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,2.3351669311523438,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,55,3.085521697998047,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,70,2.257753849029541,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,55,1.0620319843292236,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,50,0.6662206649780273,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,50,0.6626226902008057,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,60,10.927220821380615,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,55,0.31536221504211426,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,45,0.7269773483276367,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,2.066476583480835,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,0.9899117946624756,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,55,5.7013163566589355,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,55,1.0229730606079102,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,0.23367619514465332,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,50,9.307101488113403,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,60,1.2537901401519775,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,60,4.767528295516968,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,60,7.447149991989136,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,4.348551511764526,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,55,1.4067935943603516,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,65,1.2450697422027588,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,2.4190406799316406,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,4.582220792770386,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,75,8.423465490341187,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,45,5.638063192367554,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,45,1.7940406799316406,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,50,1.2979977130889893,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,55,5.084653615951538,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,3.9492180347442627,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,1.392258644104004,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,55,12.133747339248657,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,55,1.6993250846862793,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,55,11.964116096496582,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,8.814423084259033,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,60,0.5721516609191895,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,55,6.794834136962891,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,55,5.218323230743408,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,50,1.0722687244415283,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,50,2.889043092727661,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,6.327795743942261,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,40,10.869557619094849,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,50,4.7266271114349365,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,50,1.656700611114502,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,50,1.2801494598388672,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,55,1.8838257789611816,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,55,2.8969461917877197,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,11.502705335617065,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,50,2.8669233322143555,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,2.5279228687286377,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,50,0.2205820083618164,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,5.369362115859985,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,55,11.820234298706055,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,60,1.2526023387908936,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,65,3.178786516189575,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,2.4206297397613525,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,40,7.478296279907227,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,45,10.506169080734253,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
