005,1,0,55,0.19559001922607422,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,70,0.18452668190002441,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,1.2934811115264893,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,1.290668249130249,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,55,1.0691306591033936,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,45,0.2082808017730713,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,1.2282559871673584,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,55,3.973235607147217,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,65,1.3170297145843506,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,50,0.1987903118133545,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,50,0.21493077278137207,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,65,0.8428850173950195,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,1.612941026687622,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,50,4.056110143661499,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,55,1.0979804992675781,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,50,1.2957446575164795,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,50,0.21582627296447754,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,70,0.4518239498138428,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,1.9267809391021729,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,50,0.4366028308868408,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,3.565959930419922,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,55,6.400923728942871,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,50,5.27801775932312,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,55,2.8100337982177734,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,50,7.147100925445557,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,3.7525501251220703,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,45,3.9894309043884277,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,55,10.809427738189697,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,75,2.1592164039611816,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,70,0.20025253295898438,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,55,8.93480658531189,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,6.9964189529418945,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,7.824854373931885,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,1.2038631439208984,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,50,2.302722215652466,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,60,5.01521110534668,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,45,0.614736795425415,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,55,3.1588871479034424,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,60,2.039909839630127,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,75,2.780863046646118,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,50,0.5127966403961182,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,65,0.5855824947357178,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,60,0.4255862236022949,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
