010,2,0,50,146.6972963809967,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
005,2,0,50,188.6335051059723,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
005,0,0,50,275.03837871551514,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
005,3,0,45,285.9920644760132,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
005,1,0,50,322.6340856552124,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
005,4,0,50,328.79294538497925,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}
015,3,0,65,308.21164989471436,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,0,0,45,364.2867081165314,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}
015,4,0,75,335.84236431121826,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
015,1,0,50,347.75659251213074,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
020,1,0,85,313.42838978767395,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
010,1,0,50,417.6514084339142,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
010,3,0,50,407.725289106369,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
010,4,0,45,419.9731376171112,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'uniform'}
015,0,0,55,414.4709630012512,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
015,2,0,45,437.45232820510864,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'uniform'}
020,0,0,65,404.37885546684265,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
020,3,0,75,382.951865196228,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
020,2,0,40,463.9433789253235,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
020,4,0,65,448.03789234161377,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'uniform'}
010,1,0,45,214.35763502120972,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
020,1,0,65,179.66068983078003,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,1,0,60,278.4259629249573,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}
010,0,0,45,243.3049557209015,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
005,0,0,50,296.7886576652527,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}
020,2,0,60,260.9553532600403,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'uniform'}
020,4,0,70,288.06369829177856,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
005,2,0,50,337.10300946235657,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
005,4,0,45,315.3031418323517,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
010,4,0,50,345.4701018333435,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
015,3,0,65,344.95907855033875,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
010,2,0,50,371.83738923072815,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
015,4,0,60,351.1101360321045,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'uniform'}
