015,3,0,65,0.46153831481933594,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,40,0.27820420265197754,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,75,1.3917176723480225,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,60,0.8781540393829346,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,55,2.7421131134033203,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,40,0.8295879364013672,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,2.3874881267547607,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,55,2.1641557216644287,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,55,2.2119414806365967,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,45,3.609304189682007,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,45,6.999038219451904,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,70,1.6840934753417969,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,45,3.8445379734039307,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,45,4.942249774932861,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,50,1.3015015125274658,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,60,0.5819783210754395,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,60,4.1014320850372314,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,50,1.9808783531188965,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,0.9775328636169434,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,50,0.2691159248352051,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,55,4.411346912384033,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,60,10.362249374389648,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,4.116149663925171,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,40,10.062357187271118,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,55,5.429796457290649,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,65,5.790773153305054,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,70,8.634613513946533,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,45,11.434380292892456,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,45,6.849525213241577,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,45,2.3330001831054688,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,40,1.7800037860870361,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,75,16.28278398513794,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,55,8.400701999664307,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,55,10.74624514579773,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,50,3.8054025173187256,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,13.432904720306396,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,70,7.674079179763794,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,75,6.888407230377197,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,55,9.591867208480835,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,75,3.7851152420043945,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,50,15.722065925598145,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,5.753625869750977,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,55,1.1702921390533447,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,60,3.2230091094970703,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,35,10.770877122879028,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,45,14.64334487915039,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,55,14.034268140792847,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,75,15.884939432144165,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,50,8.458089351654053,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,40,1.359729290008545,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
