005,3,0,56,0.7901415824890137,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,61,1.2863237857818604,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,0,52,1.0901858806610107,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,1,0,71,1.2930324077606201,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,58,2.1980526447296143,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,46,2.385939359664917,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,58,4.706914663314819,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,2,0,62,3.1421725749969482,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,66,5.012145519256592,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,0,68,0.3701515197753906,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,46,4.289313316345215,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,0,68,3.2831194400787354,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,68,4.569984674453735,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,66,1.3187308311462402,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,51,8.0685875415802,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,66,6.067126750946045,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,67,4.527223110198975,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
020,2,0,67,2.4349799156188965,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,56,6.0075156688690186,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,65,9.496767520904541,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,2,0,66,3.0196595191955566,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,64,8.291679620742798,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,5.199239015579224,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,64,10.379600524902344,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,66,11.705049991607666,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,68,12.435448408126831,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,69,13.062330961227417,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,66,5.759979248046875,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,69,1.914954662322998,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,68,1.6658506393432617,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,74,1.5821597576141357,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,68,2.9469168186187744,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,74,5.758521318435669,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,74,1.9880428314208984,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,74,20.589125394821167,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,2,0,55,1.6334190368652344,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,58,14.30461573600769,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,61,12.976089477539062,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,58,8.686213731765747,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,2,0,48,13.170838356018066,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,54,16.237911701202393,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,54,10.068296670913696,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,67,14.12247347831726,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,52,14.251423358917236,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,67,8.608210802078247,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,64,2.8414101600646973,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,68,21.229339361190796,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,73,2.8446714878082275,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,63,17.296541929244995,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,68,17.688544273376465,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,66,14.20430612564087,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
