005,0,0,66,0.37999606132507324,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,64,0.41420602798461914,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,58,1.207284927368164,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,59,2.735138177871704,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,61,0.5356960296630859,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,63,1.6840460300445557,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,68,1.9506514072418213,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,65,2.6316821575164795,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,66,0.9875555038452148,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,70,3.830017566680908,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,0,62,3.035329580307007,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,0,60,2.6648576259613037,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,69,0.46851444244384766,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,2,0,68,3.529371976852417,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,73,1.2358808517456055,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,59,0.6840081214904785,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,68,3.843825101852417,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,68,0.7222363948822021,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,62,1.170543909072876,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,61,1.3932056427001953,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,60,1.9568798542022705,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,64,1.7656996250152588,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,0,67,6.008834362030029,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,66,5.31803035736084,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,73,4.011786699295044,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,68,6.702191352844238,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,71,1.6150689125061035,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,73,1.9606986045837402,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,0,69,13.990195751190186,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,71,1.614103078842163,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,52,3.2273266315460205,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,66,11.433027982711792,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,56,16.052770137786865,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,66,23.112970113754272,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,66,21.522352695465088,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,63,20.23008918762207,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,67,3.7693357467651367,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,68,6.861621141433716,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
