005,3,0,61,0.7887041568756104,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,69,0.553081750869751,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,59,0.6178028583526611,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,64,0.47197961807250977,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,68,0.33212780952453613,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,64,1.123720645904541,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,57,0.9714879989624023,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,62,5.199684143066406,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,64,0.2593841552734375,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,66,0.4267284870147705,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,0,72,1.735152006149292,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,70,0.9833164215087891,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,70,1.6048879623413086,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,67,0.49870872497558594,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,3,0,65,3.076803684234619,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,68,2.0833778381347656,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,61,1.4978597164154053,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,68,2.017479419708252,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,63,11.97176194190979,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,70,0.9037477970123291,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,65,5.276562452316284,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,68,3.768198251724243,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,70,1.8204023838043213,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,71,4.233639717102051,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,68,6.158785820007324,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,67,1.662440299987793,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,68,4.8258960247039795,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,69,3.22066330909729,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,71,1.9603147506713867,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,75,6.866063594818115,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,0,73,3.097665548324585,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,70,3.355748176574707,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,72,2.146420955657959,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,72,3.78082013130188,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,0,70,11.007942199707031,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,64,10.009013414382935,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,56,7.371387243270874,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,58,13.713366746902466,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,64,3.0253074169158936,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,61,13.602764368057251,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,63,9.132603883743286,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,64,15.52463412284851,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,63,8.337508916854858,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,70,10.293854236602783,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,66,5.393942356109619,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,70,22.863871335983276,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,68,28.954473972320557,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,65,22.878504276275635,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,68,6.313596248626709,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,68,18.974212646484375,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,70,5.009072780609131,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,68,6.339986801147461,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,68,11.441849946975708,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,69,2.5604703426361084,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,70,14.339822769165039,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,3,0,65,16.006118297576904,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,69,25.109477758407593,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,70,32.741169691085815,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,68,30.367788076400757,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,70,26.59529423713684,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,68,30.38081407546997,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,71,25.912317991256714,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,71,3.2556991577148438,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,73,2.2723276615142822,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,71,17.31479787826538,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,72,10.216624736785889,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,73,9.173048257827759,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,75,5.078361511230469,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,73,7.148163080215454,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,0,72,4.543565511703491,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,60,10.375754117965698,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,64,15.022571802139282,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,0,64,3.2204699516296387,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,0,63,8.820801973342896,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,68,0.2491464614868164,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,68,3.564796209335327,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,70,3.9748358726501465,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,56,16.86600661277771,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,66,3.0961263179779053,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,68,5.519484281539917,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,55,21.037498474121094,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,68,11.64541745185852,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,68,21.725531101226807,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,0,70,1.8114573955535889,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,69,14.83280634880066,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,64,16.938432693481445,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,66,23.058287620544434,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,70,35.3073365688324,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,70,13.921313762664795,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,0,69,6.280464172363281,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,66,21.60069441795349,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,0,70,6.200716495513916,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,72,19.901367664337158,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,74,10.656938791275024,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,70,13.357751607894897,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,67,14.547473669052124,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,72,15.305402040481567,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,71,30.501758098602295,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,70,61.180399656295776,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,75,20.2143874168396,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,73,4.447307825088501,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,0,70,8.639298677444458,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,0,74,6.724191904067993,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,72,4.75040864944458,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,70,4.680377721786499,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,64,9.745357036590576,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,0,66,3.7369565963745117,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,55,15.159147500991821,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,55,19.22223687171936,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,57,22.608058214187622,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,64,11.297980070114136,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
