005,3,0,67,0.3950481414794922,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,0,64,0.8205809593200684,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,60,0.5926213264465332,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,62,0.725597620010376,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,62,2.6677050590515137,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,66,1.6972260475158691,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,72,6.01584529876709,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,64,4.228472709655762,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,65,1.5054402351379395,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,64,1.4219553470611572,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,67,1.3061881065368652,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,52,6.7964863777160645,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,69,1.3616364002227783,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,72,9.211473941802979,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,69,0.6928870677947998,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,69,1.0034067630767822,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,70,6.6731860637664795,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,69,1.6583161354064941,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,67,1.1987688541412354,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,73,3.0044941902160645,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
