005,0,0,55,0.3343474864959717,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,0,50,0.4535200595855713,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,57,0.4963970184326172,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,51,1.6871473789215088,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,44,1.8755316734313965,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,48,0.3761575222015381,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,38,0.8337640762329102,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,43,1.4360020160675049,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,42,0.287306547164917,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,55,0.6846034526824951,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,58,1.0304107666015625,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,0,49,2.9867517948150635,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,50,2.003682851791382,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,0,46,3.1314635276794434,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,51,1.0634660720825195,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,52,2.6247382164001465,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,54,3.027372121810913,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,56,1.7015736103057861,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,59,1.3658947944641113,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,62,2.447500228881836,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,49,0.9484601020812988,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,51,2.4949169158935547,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,3,0,47,1.9874382019042969,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,48,3.455549955368042,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,0,61,2.706078052520752,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,52,4.788333415985107,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,0,52,3.355837345123291,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,57,6.302879571914673,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,52,4.241842031478882,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,60,3.9475951194763184,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
100,0,0,52,5.253279685974121,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,0,43,4.856547117233276,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,4,0,55,4.0861053466796875,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,3,0,48,17.233216285705566,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
100,2,0,57,19.12033724784851,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,54,0.9299271106719971,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,54,0.8468034267425537,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,56,4.706152677536011,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,45,0.8536369800567627,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,45,5.127493858337402,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,54,7.733592987060547,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
