005,2,0,44,0.7983899116516113,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,54,1.0442564487457275,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,44,2.863252639770508,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,44,1.0339241027832031,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,1.001605749130249,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,50,2.046107292175293,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,54,0.4371531009674072,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,0,0,51,2.2753796577453613,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,45,0.27886176109313965,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,51,0.4520142078399658,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,1,0,50,1.2040226459503174,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,56,0.6648101806640625,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,48,0.6482641696929932,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,46,1.887300729751587,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,62,0.693493127822876,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,47,2.369614839553833,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,55,1.65993332862854,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
020,0,0,63,2.3214635848999023,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,54,1.9843361377716064,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,58,2.737839460372925,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,49,2.3198952674865723,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,52,2.2383835315704346,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,50,2.6495168209075928,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,1,0,40,1.677708625793457,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,0,0,52,9.730093717575073,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,53,7.973174810409546,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,0,48,5.655771255493164,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
060,1,0,48,2.7844078540802,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,52,3.5646989345550537,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,64,5.813929319381714,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,65,7.181642293930054,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,55,7.781182765960693,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,0,62,9.66072702407837,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,50,6.4556193351745605,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,48,8.45106053352356,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,45,0.20362639427185059,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,52,0.36684131622314453,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,3.593744993209839,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,46,3.6786386966705322,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,0,49,0.5229337215423584,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,48,1.1464717388153076,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
005,2,0,40,3.102128505706787,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,50,0.48270177841186523,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,50,3.7260582447052,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,54,2.2336270809173584,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,56,0.5427713394165039,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,50,0.670504093170166,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,48,6.6229774951934814,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,56,2.7241714000701904,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,57,1.1705584526062012,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
030,0,0,45,0.6080868244171143,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,2,0,49,5.335320472717285,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,50,2.6132187843322754,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,48,1.4918017387390137,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,45,0.735522985458374,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,57,1.3128445148468018,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,48,1.8201179504394531,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,55,4.874791622161865,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
060,0,0,61,5.504919052124023,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,0,41,5.0220787525177,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
