005,0,0,55,0.5145158767700195,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,54,0.9696729183197021,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,61,0.8281645774841309,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,58,0.894561767578125,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,68,1.0875556468963623,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,70,0.9625449180603027,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,62,3.2962121963500977,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,59,2.034301519393921,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,56,2.263444662094116,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,69,3.951416015625,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,65,5.770078420639038,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,69,6.794003963470459,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,62,1.6330831050872803,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,56,6.635195016860962,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,62,10.219628810882568,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,61,4.495049238204956,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,69,0.5423030853271484,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,59,8.095594644546509,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,70,4.665028810501099,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,64,5.613719701766968,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,60,8.630936861038208,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,58,7.654755592346191,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,69,6.369660139083862,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,69,7.079613924026489,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,65,5.754351377487183,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,64,7.794432640075684,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,63,3.8570446968078613,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,68,3.575547933578491,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,68,2.837584972381592,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,52,12.07820987701416,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,69,18.69539475440979,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,55,19.59095287322998,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,54,10.82175874710083,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,58,16.05482244491577,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,62,12.499582290649414,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,56,9.422941446304321,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,68,15.007179021835327,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,69,8.138667345046997,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,61,10.313394546508789,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
