005,0,0,53,0.48654794692993164,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,58,0.8789598941802979,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,63,2.2215957641601562,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,57,0.8405859470367432,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,1,0,61,1.5717811584472656,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,0,66,0.9003696441650391,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,65,1.2791225910186768,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,66,1.1019582748413086,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,58,1.1418399810791016,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,70,1.4214355945587158,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,66,2.480450391769409,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,57,4.722150564193726,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,57,4.107111930847168,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,63,3.1078290939331055,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,66,2.0843899250030518,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,72,2.4637036323547363,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,66,4.922150611877441,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,4.909539222717285,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,66,2.4611520767211914,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,69,3.004896640777588,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,50,2.9853038787841797,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,1,0,70,1.4635014533996582,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,53,4.090412855148315,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,2,0,72,2.026545524597168,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,68,2.307574987411499,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,67,7.785124063491821,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,56,8.217890501022339,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,72,5.339827060699463,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,66,5.657319068908691,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,71,6.138406753540039,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,0,0,72,1.256103754043579,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,72,10.065048694610596,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,71,5.399838447570801,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,70,7.455894708633423,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,70,27.627357482910156,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,56,0.7529067993164062,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,59,5.10939884185791,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,54,8.014947652816772,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,57,11.141817331314087,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,65,4.246119022369385,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,53,17.785135984420776,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,67,2.7229506969451904,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,58,15.769435167312622,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,66,3.9592525959014893,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,66,6.441728353500366,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,58,18.728299617767334,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,66,12.194422483444214,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,70,11.460259914398193,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,66,3.9587464332580566,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,64,2.374549388885498,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,61,15.21649980545044,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,63,16.033865690231323,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,69,18.525678157806396,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,63,20.94775700569153,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,66,14.868601083755493,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,66,19.420185565948486,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,72,14.629821062088013,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,70,21.87288761138916,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,71,8.336905241012573,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
030,3,0,68,20.51034903526306,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,69,30.711029291152954,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,69,27.98198366165161,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,72,10.526834487915039,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,72,18.02618646621704,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,68,38.008739709854126,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,66,31.81685972213745,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,70,28.597182035446167,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,71,37.27292060852051,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,71,20.476285934448242,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,70,38.469377279281616,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
005,1,0,58,3.0960822105407715,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,54,2.5418317317962646,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,65,1.6392438411712646,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,53,9.35353708267212,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,57,5.332305192947388,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,67,2.1401660442352295,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,63,2.810434579849243,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,66,1.4025702476501465,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,57,4.277798175811768,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,66,3.02055287361145,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,56,3.084350109100342,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,66,1.0020153522491455,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,59,2.520806074142456,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,63,4.842251300811768,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,66,7.559584856033325,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,4,0,68,2.9355859756469727,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,72,4.735201120376587,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,67,17.99538803100586,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
