005,2,0,52,340.35815262794495,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
010,0,0,53,341.88874912261963,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
020,0,0,59,377.5810556411743,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}
010,4,0,56,432.54939675331116,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'uniform'}
020,3,0,61,416.0918278694153,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
030,3,0,54,406.94453835487366,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
020,4,0,63,434.15007495880127,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}
060,2,0,54,408.7856113910675,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}
060,0,0,71,435.47234749794006,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
015,2,0,56,494.5542747974396,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}
005,1,0,52,540.4741275310516,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}
010,1,0,54,526.536422252655,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
005,3,0,60,548.6668336391449,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}
005,0,0,53,552.5469903945923,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}
030,2,0,61,478.5106816291809,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
010,2,0,48,563.2399230003357,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
005,4,0,60,576.2369787693024,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}
010,3,0,55,556.9098391532898,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
015,0,0,65,565.8841054439545,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
015,1,0,53,557.3092498779297,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'distance'}
015,3,0,47,550.7893676757812,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}
060,4,0,64,467.27941393852234,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}
060,1,0,69,505.4702022075653,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
020,1,0,66,548.3367388248444,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'distance'}
015,4,0,63,556.2131071090698,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
030,4,0,57,523.242169380188,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}
030,0,0,66,548.6568369865417,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}
020,2,0,62,554.4678556919098,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
030,1,0,62,544.1026763916016,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
060,3,0,60,526.0460512638092,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}
005,1,0,53,383.6294434070587,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
015,0,0,57,349.9533085823059,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
015,3,0,44,317.9503216743469,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}
010,2,0,55,364.8838291168213,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
005,3,0,54,391.509418964386,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}
015,4,0,62,346.321932554245,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}
015,1,0,62,390.41328525543213,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
010,4,0,51,408.2599103450775,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'uniform'}
005,4,0,60,434.3658640384674,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
010,3,0,57,433.80797576904297,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}
010,1,0,52,448.21976590156555,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
020,2,0,58,398.1469476222992,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}
020,3,0,61,410.5072889328003,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
060,0,0,58,382.41213393211365,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,0,0,60,479.8691773414612,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
030,3,0,61,405.31357645988464,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'distance'}
005,0,0,60,522.512357711792,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
030,4,0,65,434.3077754974365,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'distance'}
015,2,0,60,463.37128233909607,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}
005,2,0,60,531.9676859378815,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
030,0,0,72,446.48720264434814,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
020,0,0,61,467.6639955043793,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}
020,1,0,61,523.6400027275085,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
020,4,0,61,506.2926392555237,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
030,2,0,62,515.0914552211761,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}
060,4,0,68,489.618369102478,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}
060,1,0,62,486.24105644226074,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
030,1,0,62,525.4047875404358,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
060,2,0,57,507.9720084667206,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
060,3,0,44,517.6730968952179,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}
010,2,0,54,230.66171550750732,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
010,1,0,53,237.0856053829193,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
