005,2,0,58,3.5872080326080322,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,58,0.4260895252227783,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,59,0.9969065189361572,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,46,0.4239621162414551,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,51,1.0894036293029785,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,54,0.4411814212799072,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,55,2.573054552078247,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,0.6041028499603271,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,64,0.4741199016571045,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,0,0,56,0.4164748191833496,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,0,57,3.639475107192993,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,61,1.1509032249450684,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,55,0.6779134273529053,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,53,0.49094080924987793,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,66,0.5780589580535889,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,2,0,66,0.5102035999298096,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,2,0,72,0.7525620460510254,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,61,0.7240808010101318,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,55,1.8129992485046387,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,69,1.1286163330078125,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,0,60,2.1887378692626953,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
