005,2,0,59,0.5213925838470459,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,52,0.20781278610229492,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,55,0.25531840324401855,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,46,0.2413015365600586,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,61,0.8290600776672363,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,0.2332160472869873,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,0,47,0.6409692764282227,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,47,0.7482583522796631,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,64,0.6464297771453857,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,64,0.9838638305664062,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,50,1.3137469291687012,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,57,1.2235994338989258,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,54,1.9646532535552979,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,62,1.8102664947509766,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,56,0.6371035575866699,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,0,52,1.8990452289581299,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,68,2.9127728939056396,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,58,1.5810749530792236,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,60,0.8544719219207764,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,67,1.2089178562164307,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,64,2.4450933933258057,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,57,2.668806314468384,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,64,3.424006938934326,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,60,2.5617589950561523,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,53,3.8343167304992676,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,65,0.8160133361816406,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,62,3.4516522884368896,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,63,1.0190761089324951,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,53,0.3792288303375244,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,0,67,2.2379181385040283,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,70,1.9299943447113037,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,67,4.92853307723999,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,68,3.2256507873535156,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,64,4.530077934265137,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,58,16.60780358314514,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,3,0,54,2.4384353160858154,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,54,3.6042778491973877,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,39,0.7735104560852051,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,60,2.1745448112487793,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,56,0.4643971920013428,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,52,0.6526482105255127,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,51,2.89518666267395,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,0,61,1.9953148365020752,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
