005,0,0,45,0.3087012767791748,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,54,0.6468479633331299,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,50,1.0687849521636963,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,52,1.666116714477539,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,58,0.2604949474334717,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,57,0.2148420810699463,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,0.6995022296905518,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,56,0.3221445083618164,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,49,0.23055624961853027,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,51,1.534599781036377,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,53,1.2699041366577148,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,68,0.5063354969024658,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,50,0.31907153129577637,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,54,1.9751887321472168,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,59,0.4901289939880371,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,68,0.77988600730896,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,65,0.4010779857635498,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,54,0.4240744113922119,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,52,0.656552791595459,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,58,5.042186975479126,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,55,3.6946492195129395,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,37,3.6893720626831055,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
