005,0,0,61,0.5120689868927002,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,66,0.37445592880249023,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,57,0.46907806396484375,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,0,68,0.305600643157959,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,57,0.8505377769470215,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,59,0.5062277317047119,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,68,0.47166991233825684,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,0.5550589561462402,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,68,0.19545650482177734,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,69,0.2280430793762207,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,70,0.7844302654266357,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,54,0.5403716564178467,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,58,1.422386884689331,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,64,2.039198398590088,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,64,0.3645045757293701,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,2.097050905227661,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,68,1.6010997295379639,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,52,4.582206964492798,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,66,3.0212230682373047,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,68,0.38249778747558594,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,54,2.0817599296569824,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
100,3,0,74,2.7415337562561035,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,3,0,70,2.476299524307251,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,68,0.5134000778198242,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,70,0.43158841133117676,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,69,7.407508373260498,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,55,8.155784130096436,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,71,2.5929694175720215,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,66,5.227076292037964,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,67,9.888773441314697,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,2,0,75,11.830178499221802,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,72,11.1513991355896,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,69,1.0490422248840332,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,4,0,74,6.373405933380127,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,69,5.828062057495117,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,57,0.46663594245910645,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,53,3.4884278774261475,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,54,10.03433084487915,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,53,3.7988779544830322,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,52,1.2498345375061035,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,65,1.7783215045928955,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,55,1.3116257190704346,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,52,4.3153076171875,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,57,2.5130057334899902,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,60,10.824982643127441,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,45,5.070258617401123,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,64,1.3543920516967773,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,51,6.987034320831299,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,68,2.259744882583618,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,0,56,5.747072458267212,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,58,6.292822360992432,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,12.929949522018433,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,68,9.247241973876953,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,66,6.003494024276733,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
