010,1,0,62,63.82804727554321,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 75}
005,3,0,62,83.61610126495361,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 25}
005,4,0,59,91.78987455368042,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
010,2,0,69,87.37939596176147,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
015,1,0,68,101.18715906143188,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 25}
015,2,0,69,113.38926482200623,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
030,0,0,70,123.25676941871643,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
005,0,0,57,194.50321054458618,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 25}
030,3,0,69,163.51265287399292,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 25}
015,4,0,64,176.5583598613739,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50}
015,0,0,68,189.7594017982483,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 125}
010,3,0,65,230.20541048049927,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 75}
030,4,0,68,202.82116770744324,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 25}
030,1,0,67,229.6294355392456,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
005,2,0,64,284.2195339202881,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100}
010,0,0,62,310.22255206108093,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 125}
005,1,0,56,316.1464684009552,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
015,3,0,66,355.3890676498413,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
020,1,0,70,350.6459469795227,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 125}
010,4,0,62,400.40978026390076,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 150}
020,2,0,72,402.44766759872437,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}
020,4,0,68,454.9800615310669,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 25}
020,3,0,66,483.8424174785614,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 125}
060,3,0,70,497.19020342826843,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100}
030,2,0,68,603.0090224742889,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 125}
020,0,0,66,729.5470793247223,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
060,2,0,73,768.5463349819183,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
060,0,0,69,931.0257334709167,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 75}
060,1,0,71,1086.1190376281738,{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}
100,2,0,72,1104.222712278366,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 75}
100,1,0,72,1103.9350917339325,{'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 150}
060,4,0,71,1156.3380172252655,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50}
100,4,0,70,1293.4635553359985,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100}
100,3,0,71,1492.3378303050995,{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 125}
100,0,0,70,1477.4892818927765,{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 25}
005,1,0,53,73.51642084121704,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50}
005,2,0,50,94.03355383872986,{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 25}
