005,4,0,54,1.1148464679718018,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,71,3.0717427730560303,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,60,1.8787405490875244,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,60,1.1914281845092773,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,67,0.6251270771026611,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,55,1.425123929977417,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,54,2.2727577686309814,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,59,1.8683979511260986,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,68,0.640347957611084,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,65,1.0028438568115234,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,64,4.279951810836792,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,68,1.660935878753662,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,64,1.3179314136505127,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,70,0.4754171371459961,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,63,3.0447702407836914,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,68,6.9673120975494385,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,72,1.6919007301330566,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,70,6.691938638687134,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,68,3.409494161605835,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,74,7.482268333435059,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,0,70,1.452624797821045,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,68,6.377789735794067,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,70,3.0239007472991943,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,67,1.7653498649597168,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,72,3.7826132774353027,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,0,78,11.476649284362793,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,76,4.556322336196899,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,72,20.057126998901367,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,0,74,12.696601152420044,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,74,10.89531135559082,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,73,5.4885547161102295,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,75,17.46788740158081,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,74,4.7189860343933105,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,74,14.666615724563599,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,75,8.937106609344482,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,65,2.6326420307159424,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,51,9.262693166732788,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,53,2.9779765605926514,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,60,5.14057183265686,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,54,9.646266460418701,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,68,3.407346725463867,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,64,3.5209789276123047,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,63,9.59589433670044,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,0,72,4.677916049957275,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,61,7.619354724884033,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,68,5.18830680847168,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,68,11.731733798980713,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,66,10.24038314819336,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,72,5.18737530708313,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,66,1.6470189094543457,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,71,4.153086423873901,{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}
015,1,0,66,6.440377950668335,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,66,9.175817489624023,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,68,2.4192276000976562,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,69,1.6904850006103516,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,72,6.903226375579834,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
