dataset, empirical, GAN, VAE
RL1,70,68,66
RL1,68,67,66
RL1,71,67,66
RL1,73,68,67
RL1,70,70,64
RL1,74,68,64
RL1,72,67,62
RL1,67,67,66
RL1,72,67,63
RL1,71,68,64
RL8,66,69,60
RL8,70,69,57
RL8,69,69,60
RL8,72,68,62
RL8,71,69,65
RL8,73,72,63
RL8,70,70,66
RL8,71,69,64
RL8,67,69,61
RL8,71,70,62
AS,68,60,50
AS,67,61,58
AS,72,58,45
AS,72,58,45
AS,64,61,47
AS,75,60,52
AS,72,58,52
AS,69,61,49
AS,63,60,50
AS,68,61,44
N170,55,70,55
N170,65,70,55
N170,75,75,60
N170,75,70,65
N170,70,75,60
N170,75,70,55
N170,60,70,55
N170,35,70,60
N170,50,75,55
N170,90,75,70
N2PC,50,60,55
N2PC,40,60,55
N2PC,50,60,30
N2PC,55,60,50
N2PC,50,60,60
N2PC,60,60,50
N2PC,65,60,55
N2PC,50,60,50
N2PC,50,65,50
N2PC,50,60,45
